"Rank","Player","RU_ATT","RU_YDS","Y/A","LG","20+","RU_TD","REC","TGT","RE_YDS","Y/R","RE_TD","FL","G","FPTS","FPTS/G","OWN"
"1","Derrick Henry (TEN)","378","2,027","5.4","94","0","17","19","31","114","6.0","0","2","16","314.1","19.6","100.0%"
"2","Alvin Kamara (NO)","187","932","5.0","49","0","16","83","107","756","9.1","5","0","15","294.8","19.7","100.0%"
"3","Dalvin Cook (MIN)","312","1,557","5.0","70","0","16","44","54","361","8.2","1","3","14","293.8","21.0","100.0%"
"4","Jonathan Taylor (IND)","232","1,169","5.0","62","0","11","36","40","299","8.3","1","1","15","216.8","14.5","99.9%"
"5","Aaron Jones (GB)","201","1,104","5.5","77","0","9","47","63","355","7.6","2","0","14","211.9","15.1","99.9%"
"6","David Montgomery (CHI)","247","1,070","4.3","80","0","8","54","68","438","8.1","2","1","15","210.8","14.1","97.9%"
"7","James Robinson (JAC)","240","1,070","4.5","47","0","7","49","60","344","7.0","3","1","14","201.4","14.4","90.7%"
"8","Josh Jacobs (LV)","273","1,065","3.9","28","0","12","33","45","238","7.2","0","2","15","198.3","13.2","97.5%"
"9","Nick Chubb (CLE)","190","1,067","5.6","59","0","12","16","18","150","9.4","0","1","12","191.7","16.0","99.9%"
"10","Kareem Hunt (CLE)","198","841","4.2","33","0","6","38","51","304","8.0","5","0","16","180.5","11.3","93.3%"
"11","Ezekiel Elliott (DAL)","244","979","4.0","31","0","6","52","71","338","6.5","2","5","15","171.7","11.4","99.9%"
"12","Kenyan Drake (LV)","239","955","4.0","69","0","10","25","31","137","5.5","0","1","15","167.2","11.1","77.2%"
"13","Melvin Gordon III (DEN)","215","986","4.6","65","0","9","32","44","158","4.9","1","4","15","166.4","11.1","82.9%"
"14","Antonio Gibson (WAS)","170","795","4.7","40","0","11","36","44","247","6.9","0","2","14","166.2","11.9","99.0%"
"15","Ronald Jones II (TB)","192","978","5.1","98","0","7","28","42","165","5.9","1","2","14","158.3","11.3","81.4%"
"16","Chris Carson (SEA)","141","681","4.8","29","0","5","37","46","287","7.8","4","0","12","150.8","12.6","97.5%"
"17","J.K. Dobbins (BAL)","134","805","6.0","72","0","9","18","24","120","6.7","0","0","15","150.5","10.0","97.9%"
"18","Mike Davis (ATL)","165","642","3.9","25","0","6","59","70","373","6.3","2","1","15","147.5","9.8","89.7%"
"19","David Johnson (HOU)","147","691","4.7","48","0","6","33","46","314","9.5","2","1","12","146.5","12.2","76.5%"
"20","D'Andre Swift (DET)","114","521","4.6","54","0","8","46","57","357","7.8","2","2","13","143.8","11.1","96.5%"
"21","Miles Sanders (PHI)","164","867","5.3","82","0","6","28","52","197","7.0","0","2","12","142.4","11.9","97.4%"
"22","Clyde Edwards-Helaire (KC)","181","803","4.4","31","0","4","36","54","297","8.3","1","0","13","140.0","10.8","98.8%"
"23","Todd Gurley II (FA)","195","678","3.5","35","0","9","25","35","164","6.6","0","0","15","138.2","9.2","4.5%"
"24","Nyheim Hines (IND)","89","380","4.3","31","0","3","63","76","482","7.7","4","0","16","130.2","8.1","58.1%"
"25","James Conner (ARI)","169","721","4.3","59","0","6","35","43","215","6.1","0","0","13","129.6","10.0","75.4%"
"26","Jeff Wilson Jr. (SF)","126","600","4.8","34","0","7","13","28","133","10.2","3","2","12","129.3","10.8","6.0%"
"27","Myles Gaskin (MIA)","142","584","4.1","26","0","3","41","47","388","9.5","2","2","10","123.2","12.3","93.1%"
"28","Gus Edwards (BAL)","144","723","5.0","36","0","6","9","13","129","14.3","0","1","16","119.2","7.5","46.8%"
"29","Wayne Gallman (SF)","147","682","4.6","60","0","6","21","27","114","5.4","0","0","15","115.6","7.7","2.2%"
"30","Chase Edmonds (ARI)","97","448","4.6","32","0","1","53","67","402","7.6","4","0","16","115.0","7.2","90.5%"
"31","Darrell Henderson (LAR)","138","624","4.5","40","0","5","16","24","159","9.9","1","0","15","114.3","7.6","92.0%"
"32","Latavius Murray (NO)","146","656","4.5","36","0","4","23","26","176","7.7","1","0","15","113.2","7.5","32.2%"
"33","Adrian Peterson (FA)","156","604","3.9","38","0","7","12","18","101","8.4","0","0","16","112.5","7.0","0.7%"
"34","J.D. McKissic (WAS)","85","365","4.3","17","0","1","80","110","589","7.4","2","1","16","111.4","7.0","39.0%"
"35","Austin Ekeler (LAC)","116","530","4.6","27","0","1","54","65","403","7.5","2","0","10","111.3","11.1","99.7%"
"36","Giovani Bernard (TB)","124","416","3.4","15","0","3","47","59","355","7.6","3","1","16","111.1","6.9","11.0%"
"37","Devin Singletary (BUF)","156","687","4.4","51","0","2","38","50","269","7.1","0","1","16","105.6","6.6","58.5%"
"38","Jamaal Williams (DET)","119","505","4.2","25","0","2","31","35","236","7.6","1","0","14","96.1","6.9","52.2%"
"39","Leonard Fournette (TB)","97","367","3.8","46","0","6","36","47","233","6.5","0","0","13","96.0","7.4","86.4%"
"40","Jerick McKinnon (KC)","81","319","3.9","55","0","5","33","46","253","7.7","1","0","16","93.2","5.8","3.6%"
"41","Tony Pollard (DAL)","101","435","4.3","42","0","4","28","40","193","6.9","1","0","16","92.8","5.8","39.3%"
"42","Cam Akers (LAR)","145","625","4.3","61","0","2","11","14","123","11.2","1","1","12","90.8","7.6","19.8%"
"43","Zack Moss (BUF)","112","481","4.3","31","0","4","14","18","95","6.8","1","0","13","87.6","6.7","73.5%"
"44","Damien Harris (NE)","137","691","5.0","41","0","2","5","7","52","10.4","0","0","10","86.3","8.6","82.5%"
"45","Malcolm Brown (MIA)","101","419","4.1","19","0","5","23","33","162","7.0","0","1","16","86.1","5.4","6.8%"
"46","Frank Gore (FA)","187","653","3.5","17","0","2","16","19","89","5.6","0","1","15","84.2","5.6","12.1%"
"47","Raheem Mostert (SF)","104","521","5.0","80","0","2","16","19","156","9.8","1","1","8","83.7","10.5","88.4%"
"48","Rex Burkhead (HOU)","67","274","4.1","18","0","3","25","33","192","7.7","3","0","10","82.6","8.3","0.9%"
"49","Joe Mixon (CIN)","119","428","3.6","34","0","3","21","26","138","6.6","1","1","6","78.6","13.1","98.9%"
"50","Alexander Mattison (MIN)","96","434","4.5","25","0","2","13","15","125","9.6","1","0","13","73.9","5.7","30.1%"
"51","Christian McCaffrey (CAR)","59","225","3.8","15","0","5","17","19","149","8.8","1","0","3","73.3","24.4","100.0%"
"52","Boston Scott (PHI)","80","374","4.7","56","0","1","25","36","212","8.5","1","0","16","70.6","4.4","4.9%"
"53","Brian Hill (TEN)","100","465","4.7","62","0","1","25","30","199","8.0","0","1","16","70.4","4.4","0.4%"
"54","Carlos Hyde (JAC)","81","356","4.4","50","0","4","16","20","93","5.8","0","0","10","68.9","6.9","1.9%"
"55","Devontae Booker (NYG)","93","423","4.5","43","0","3","17","21","84","4.9","0","0","16","68.7","4.3","6.2%"
"56","Sony Michel (NE)","79","449","5.7","48","0","1","7","9","114","16.3","1","0","9","68.3","7.6","7.0%"
"57","James White (NE)","35","121","3.5","10","0","2","49","62","375","7.7","1","0","14","67.6","4.8","23.0%"
"58","Kalen Ballage (PIT)","91","303","3.3","17","0","3","29","37","166","5.7","0","0","11","64.9","5.9","0.6%"
"59","Benny Snell Jr. (PIT)","111","368","3.3","30","0","4","10","14","61","6.1","0","1","16","64.9","4.1","3.0%"
"60","Kyle Juszczyk (SF)","17","64","3.8","10","0","2","19","29","202","10.6","4","0","16","62.6","3.9","0.8%"
"61","Phillip Lindsay (HOU)","118","502","4.3","55","0","1","7","14","28","4.0","0","0","11","59.0","5.4","34.9%"
"62","Le'Veon Bell (FA)","82","328","4.0","16","0","2","16","20","138","8.6","0","0","11","58.6","5.3","2.1%"
"63","Joshua Kelley (LAC)","111","354","3.2","33","0","2","23","23","148","6.4","0","2","14","58.2","4.2","2.3%"
"64","Salvon Ahmed (MIA)","75","319","4.3","31","0","3","11","14","61","5.5","0","0","6","58.0","9.7","3.5%"
"65","Duke Johnson Jr. (FA)","77","235","3.1","23","0","1","28","35","249","8.9","1","2","11","56.4","5.1","0.9%"
"66","Samaje Perine (CIN)","63","301","4.8","46","0","3","11","12","66","6.0","0","0","16","54.7","3.4","1.3%"
"67","Kerryon Johnson (PHI)","52","181","3.5","14","0","2","19","26","187","9.8","1","1","16","52.8","3.3","1.0%"
"68","Peyton Barber (WAS)","94","258","2.7","15","0","4","4","7","12","3.0","0","0","16","51.0","3.2","0.4%"
"69","Jordan Wilkins (IND)","84","308","3.7","22","0","1","12","16","105","8.8","0","0","15","49.3","3.3","0.1%"
"70","Ty Johnson (NYJ)","54","254","4.7","34","0","1","16","21","99","6.2","1","0","13","47.3","3.6","1.7%"
"71","Mark Ingram II (HOU)","72","299","4.2","30","0","2","6","8","50","8.3","0","0","11","46.9","4.3","5.6%"
"72","Justin Jackson (LAC)","59","270","4.6","36","0","0","19","24","173","9.1","0","0","9","46.3","5.1","3.0%"
"73","La'Mical Perine (NYJ)","64","232","3.6","20","0","2","11","15","63","5.7","0","0","10","41.5","4.2","1.5%"
"74","Ito Smith (ARI)","63","268","4.3","24","0","1","17","26","75","4.4","0","0","14","40.3","2.9","0.2%"
"75","DeeJay Dallas (SEA)","34","108","3.2","13","0","2","17","20","111","6.5","1","0","12","39.9","3.3","1.2%"
"76","AJ Dillon (GB)","46","242","5.3","30","0","2","2","2","21","10.5","0","0","11","38.3","3.5","70.6%"
"77","Dion Lewis (FA)","29","115","4.0","19","0","2","19","30","127","6.7","1","2","16","38.2","2.4","2.0%"
"78","Alfred Morris (NYG)","55","238","4.3","20","0","1","3","4","19","6.3","1","0","9","37.7","4.2","0.1%"
"79","Darrel Williams (KC)","39","169","4.3","13","0","1","18","26","116","6.4","0","0","16","36.5","2.3","10.4%"
"80","Matt Breida (BUF)","59","254","4.3","24","0","0","9","10","96","10.7","0","1","12","33.0","2.8","0.8%"
"81","Jalen Richard (LV)","22","123","5.6","20","0","1","19","23","138","7.3","0","0","13","32.1","2.5","0.3%"
"82","Jeremy McNichols (TEN)","47","204","4.3","20","0","1","12","17","55","4.6","0","0","16","31.9","2.0","0.3%"
"83","Josh Adams (NYJ)","29","157","5.4","25","0","2","6","8","29","4.8","0","0","8","30.6","3.8","0.1%"
"84","Jordan Howard (PHI)","35","60","1.7","11","0","4","1","1","-3","-3.0","0","0","7","29.7","4.2","0.2%"
"85","Devonta Freeman (NO)","54","172","3.2","14","0","1","7","10","58","8.3","0","0","5","29.0","5.8","0.7%"
