"Rank","Player","Team","Position","Points","Games","Avg"
"1","Tom Brady","TB","QB","31.8","1","31.8"
"2","Kyler Murray","ARI","QB","30.9","1","30.9"
"3","Ben Roethlisberger","PIT","QB","29.3","1","29.3"
"4","Josh Allen","BUF","QB","28.4","1","28.4"
"5","Alvin Kamara","NO","RB","27.8","1","27.8"
"6","Aaron Rodgers","GB","QB","26.4","1","26.4"
"7","Josh Jacobs","LV","RB","25.6","1","25.6"
"8","Ronald Jones II","TB","RB","23.8","1","23.8"
"9","Nyheim Hines","IND","RB","23.5","1","23.5"
"10","Matthew Stafford","DET","QB","23.0","1","23.0"
"11","Lamar Jackson","BAL","QB","22.5","1","22.5"
"12","Daniel Jones","NYG","QB","22.2","1","22.2"
"13","Justin Herbert","LAC","QB","21.5","1","21.5"
"14","D'Andre Swift","DET","RB","20.9","1","20.9"
"14","Marquez Valdes-Scantling","GB","WR","20.9","1","20.9"
"16","Devontae Booker","LV","RB","20.3","1","20.3"
"17","Teddy Bridgewater","CAR","QB","20.0","1","20.0"
"18","DeAndre Hopkins","ARI","WR","18.7","1","18.7"
"19","Kirk Cousins","MIN","QB","18.6","1","18.6"
"19","Nick Chubb","CLE","RB","18.6","1","18.6"
"19","Rex Burkhead","NE","RB","18.6","1","18.6"
"22","Antonio Gibson","WAS","RB","18.5","1","18.5"
"23","Willie Snead IV","BAL","WR","18.4","1","18.4"
"24","Wayne Gallman","NYG","RB","18.0","1","18.0"
"24","Tyler Bass","BUF","K","18.0","1","18.0"
"26","Diontae Johnson","PIT","WR","17.6","1","17.6"
"27","Chase Claypool","PIT","WR","17.3","1","17.3"
"28","Malcolm Brown","LAR","RB","17.1","1","17.1"
"29","Ryan Succop","TB","K","17.0","1","17.0"
"30","Cole Beasley","BUF","WR","16.9","1","16.9"
"31","Cam Newton","NE","QB","16.8","1","16.8"
"32","Keelan Cole Sr.","JAC","WR","16.7","1","16.7"
"33","Philip Rivers","IND","QB","16.3","1","16.3"
"33","Adam Thielen","MIN","WR","16.3","1","16.3"
"35","Las Vegas Raiders","LV","DST","16.0","1","16.0"
"35","Alex Smith","WAS","QB","16.0","1","16.0"
"35","Zane Gonzalez","ARI","K","16.0","1","16.0"
"35","Matt Prater","DET","K","16.0","1","16.0"
"39","D.J. Moore","CAR","WR","15.6","1","15.6"
"39","Marvin Jones Jr.","DET","WR","15.6","1","15.6"
"41","Tee Higgins","CIN","WR","15.5","1","15.5"
"42","Stefon Diggs","BUF","WR","15.3","1","15.3"
"43","Daniel Carlson","LV","K","15.0","1","15.0"
"43","Salvon Ahmed","MIA","RB","15.0","1","15.0"
"45","Tua Tagovailoa","MIA","QB","14.7","1","14.7"
"46","Deshaun Watson","HOU","QB","14.1","1","14.1"
"47","New Orleans Saints","NO","DST","14.0","1","14.0"
"47","Chris Boswell","PIT","K","14.0","1","14.0"
"47","Jason Sanders","MIA","K","14.0","1","14.0"
"50","Mike Evans","TB","WR","13.7","1","13.7"
"50","JuJu Smith-Schuster","PIT","WR","13.7","1","13.7"
"52","Justin Jefferson","MIN","WR","13.5","1","13.5"
"53","Boston Scott","PHI","RB","13.4","1","13.4"
"54","Kareem Hunt","CLE","RB","13.2","1","13.2"
"55","Los Angeles Rams","LAR","DST","13.0","1","13.0"
"56","Brandon Aiyuk","SF","WR","12.7","1","12.7"
"57","Joe Burrow","CIN","QB","12.5","1","12.5"
"58","Michael Pittman Jr.","IND","WR","12.2","1","12.2"
"58","Nick Mullens","SF","QB","12.2","1","12.2"
"60","Marvin Hall","Multi","WR","12.1","1","12.1"
"60","Damien Harris","NE","RB","12.1","1","12.1"
"62","Pittsburgh Steelers","PIT","DST","12.0","1","12.0"
"62","Chicago Bears","CHI","DST","12.0","1","12.0"
"62","Jason Myers","SEA","K","12.0","1","12.0"
"65","Russell Wilson","SEA","QB","11.9","1","11.9"
"66","Miles Sanders","PHI","RB","11.5","1","11.5"
"67","James Robinson","JAC","RB","11.2","1","11.2"
"67","Dalvin Cook","MIN","RB","11.2","1","11.2"
"69","Rob Gronkowski","TB","TE","11.1","1","11.1"
"70","Rodrigo Blankenship","IND","K","11.0","1","11.0"
"70","Drew Lock","DEN","QB","11.0","1","11.0"
"70","Jacksonville Jaguars","JAC","DST","11.0","1","11.0"
"73","Cordarrelle Patterson","CHI","WR","10.9","1","10.9"
"73","J.D. McKissic","WAS","RB","10.9","1","10.9"
"73","Derrick Henry","TEN","RB","10.9","1","10.9"
"73","Jakobi Meyers","NE","WR","10.9","1","10.9"
"77","Ryan Tannehill","TEN","QB","10.8","1","10.8"
"78","Alex Collins","SEA","RB","10.7","1","10.7"
"79","Davante Adams","GB","WR","10.6","1","10.6"
"80","Jared Goff","LAR","QB","10.5","1","10.5"
"81","Jakeem Grant Sr.","MIA","WR","10.3","1","10.3"
"82","Terry McLaurin","WAS","WR","10.2","1","10.2"
"82","Kalen Ballage","Multi","RB","10.2","1","10.2"
"84","Indianapolis Colts","IND","DST","10.0","1","10.0"
"84","Graham Gano","NYG","K","10.0","1","10.0"
"84","Wil Lutz","NO","K","10.0","1","10.0"
"84","Minnesota Vikings","MIN","DST","10.0","1","10.0"
"84","Chase McLaughlin","Multi","K","10.0","1","10.0"
"84","Dustin Hopkins","WAS","K","10.0","1","10.0"
"90","Keenan Allen","LAC","WR","9.9","1","9.9"
"91","Jake Luton","JAC","QB","9.8","1","9.8"
"92","Aaron Jones","GB","RB","9.5","1","9.5"
"93","Josh Reynolds","LAR","WR","9.4","1","9.4"
"94","Darrell Henderson","LAR","RB","9.3","1","9.3"
"94","Darius Slayton","NYG","WR","9.3","1","9.3"
"96","Chris Godwin","TB","WR","9.2","1","9.2"
"97","Cameron Brate","TB","TE","9.1","1","9.1"
"98","Hunter Henry","LAC","TE","9.0","1","9.0"
"99","Kenyan Drake","ARI","RB","8.9","1","8.9"
"100","Carson Wentz","PHI","QB","8.7","1","8.7"
"101","D'Onta Foreman","TEN","RB","8.3","1","8.3"
"102","Pharaoh Brown","HOU","TE","8.1","1","8.1"
"103","Robbie Gould","SF","K","8.0","1","8.0"
"103","Brandon McManus","DEN","K","8.0","1","8.0"
"103","Cairo Santos","CHI","K","8.0","1","8.0"
"103","Dan Bailey","MIN","K","8.0","1","8.0"
"107","Chase Edmonds","ARI","RB","7.7","1","7.7"
"108","Jonnu Smith","TEN","TE","7.5","1","7.5"
"109","DaeSean Hamilton","DEN","WR","7.3","1","7.3"
"109","Gus Edwards","BAL","RB","7.3","1","7.3"
"111","Derek Carr","LV","QB","7.2","1","7.2"
"111","John Brown","BUF","WR","7.2","1","7.2"
"113","San Francisco 49ers","SF","DST","7.0","1","7.0"
"113","Stephen Gostkowski","TEN","K","7.0","1","7.0"
"115","Durham Smythe","MIA","TE","6.9","1","6.9"
"115","Drew Brees","NO","QB","6.9","1","6.9"
"117","Jerry Jeudy","DEN","WR","6.8","1","6.8"
"118","Corey Davis","TEN","WR","6.7","1","6.7"
"118","Colin Thompson","CAR","TE","6.7","1","6.7"
"120","Antonio Brown","TB","WR","6.6","1","6.6"
"120","Logan Thomas","WAS","TE","6.6","1","6.6"
"120","Tyler Lockett","SEA","WR","6.6","1","6.6"
"123","Corey Clement","PHI","RB","6.5","1","6.5"
"124","Jacoby Brissett","IND","QB","6.2","1","6.2"
"124","Jordan Reed","SF","TE","6.2","1","6.2"
"126","Tim Patrick","DEN","WR","6.1","1","6.1"
"126","Mark Andrews","BAL","TE","6.1","1","6.1"
"128","Green Bay Packers","GB","DST","6.0","1","6.0"
"128","Joey Slye","CAR","K","6.0","1","6.0"
"128","Buffalo Bills","BUF","DST","6.0","1","6.0"
"128","Mason Crosby","GB","K","6.0","1","6.0"
"128","Richard Rodgers","PHI","TE","6.0","1","6.0"
"128","Miami Dolphins","MIA","DST","6.0","1","6.0"
"128","Tyler Higbee","LAR","TE","6.0","1","6.0"
"128","Cleveland Browns","CLE","DST","6.0","1","6.0"
"136","Isaiah Wright","WAS","WR","5.9","1","5.9"
"137","Latavius Murray","NO","RB","5.7","1","5.7"
"138","D.J. Chark Jr.","JAC","WR","5.6","1","5.6"
"139","Jamaal Williams","GB","RB","5.5","1","5.5"
"139","Samaje Perine","CIN","RB","5.5","1","5.5"
"141","Baker Mayfield","CLE","QB","5.4","1","5.4"
"141","Cam Sims","WAS","WR","5.4","1","5.4"
"141","Duke Johnson Jr.","HOU","RB","5.4","1","5.4"
"144","Seattle Seahawks","SEA","DST","5.0","1","5.0"
"144","Justin Tucker","BAL","K","5.0","1","5.0"
"144","Houston Texans","HOU","DST","5.0","1","5.0"
"144","Cooper Kupp","LAR","WR","5.0","1","5.0"
"144","Cody Parkey","CLE","K","5.0","1","5.0"
"144","New England Patriots","NE","DST","5.0","1","5.0"
"144","KJ Hamler","DEN","WR","5.0","1","5.0"
"144","Nick Folk","NE","K","5.0","1","5.0"
"144","Kai Forbath","LAR","K","5.0","1","5.0"
"144","Tampa Bay Buccaneers","TB","DST","5.0","1","5.0"
"154","James Conner","PIT","RB","4.8","1","4.8"
"154","Rashard Higgins","CLE","WR","4.8","1","4.8"
"156","Isaiah McKenzie","BUF","WR","4.7","1","4.7"
"156","Jalen Reagor","PHI","WR","4.7","1","4.7"
"156","Giovani Bernard","CIN","RB","4.7","1","4.7"
"156","Sterling Shepard","NYG","WR","4.7","1","4.7"
"160","Melvin Gordon III","DEN","RB","4.6","1","4.6"
"160","Steven Sims Jr.","WAS","WR","4.6","1","4.6"
"160","Jerick McKinnon","SF","RB","4.6","1","4.6"
"163","Devin Duvernay","BAL","WR","4.5","1","4.5"
"164","Golden Tate","NYG","WR","4.4","1","4.4"
"164","Mike Davis","CAR","RB","4.4","1","4.4"
"166","Chris Conley","JAC","WR","4.3","1","4.3"
"166","Allen Robinson II","CHI","WR","4.3","1","4.3"
"166","Kyle Rudolph","MIN","TE","4.3","1","4.3"
"169","Tyler Boyd","CIN","WR","4.1","1","4.1"
"169","Randall Cobb","HOU","WR","4.1","1","4.1"
"171","Randy Bullock","CIN","K","4.0","1","4.0"
"171","Mike Gesicki","MIA","TE","4.0","1","4.0"
"171","T.Y. Hilton","IND","WR","4.0","1","4.0"
"171","New York Giants","NYG","DST","4.0","1","4.0"
"171","Jake Elliott","PHI","K","4.0","1","4.0"
"171","Detroit Lions","DET","DST","4.0","1","4.0"
"177","Brandin Cooks","HOU","WR","3.9","1","3.9"
"177","Greg Ward","PHI","WR","3.9","1","3.9"
"179","Will Fuller V","HOU","WR","3.8","1","3.8"
"179","Eric Ebron","PIT","TE","3.8","1","3.8"
"179","Cam Akers","LAR","RB","3.8","1","3.8"
"179","Mike Williams","LAC","WR","3.8","1","3.8"
"183","Darren Waller","LV","TE","3.7","1","3.7"
"183","Jonathan Taylor","IND","RB","3.7","1","3.7"
"183","Freddie Swain","SEA","WR","3.7","1","3.7"
"186","Robert Woods","LAR","WR","3.6","1","3.6"
"187","Dan Arnold","ARI","TE","3.4","1","3.4"
"187","Alfred Morris","NYG","RB","3.4","1","3.4"
"187","Jeremy McNichols","TEN","RB","3.4","1","3.4"
"187","Nick Foles","CHI","QB","3.4","1","3.4"
"191","Robert Tonyan","GB","TE","3.3","1","3.3"
"191","Dallas Goedert","PHI","TE","3.3","1","3.3"
"191","Greg Olsen","SEA","TE","3.3","1","3.3"
"191","Zach Pascal","IND","WR","3.3","1","3.3"
"195","Henry Ruggs III","LV","WR","3.1","1","3.1"
"195","DeVante Parker","MIA","WR","3.1","1","3.1"
"195","DeeJay Dallas","SEA","RB","3.1","1","3.1"
"198","Hunter Renfrow","LV","WR","3.0","1","3.0"
"198","Austin Walter","SF","RB","3.0","1","3.0"
"198","James Washington","PIT","WR","3.0","1","3.0"
"198","Arizona Cardinals","ARI","DST","3.0","1","3.0"
"198","Michael Badgley","LAC","K","3.0","1","3.0"
"198","Philadelphia Eagles","PHI","DST","3.0","1","3.0"
"198","Adrian Peterson","DET","RB","3.0","1","3.0"
"198","Leonard Fournette","TB","RB","3.0","1","3.0"
"206","Jarvis Landry","CLE","WR","2.9","1","2.9"
"206","Mark Ingram II","BAL","RB","2.9","1","2.9"
"208","Anthony Miller","CHI","WR","2.8","1","2.8"
"208","D.K. Metcalf","SEA","WR","2.8","1","2.8"
"208","Jordan Wilkins","IND","RB","2.8","1","2.8"
"211","Malcolm Perry","MIA","WR","2.7","1","2.7"
"211","Michael Thomas","NO","WR","2.7","1","2.7"
"211","Christian Kirk","ARI","WR","2.7","1","2.7"
"211","Gerald Everett","LAR","TE","2.7","1","2.7"
"215","Royce Freeman","DEN","RB","2.6","1","2.6"
"215","Kendrick Bourne","SF","WR","2.6","1","2.6"
"217","Taysom Hill","NO","QB","2.5","1","2.5"
"218","Auden Tate","CIN","WR","2.4","1","2.4"
"218","Trey Burton","IND","TE","2.4","1","2.4"
"218","Jalen Guyton","LAC","WR","2.4","1","2.4"
"221","Jameis Winston","NO","QB","2.3","1","2.3"
"222","Trayveon Williams","CIN","RB","2.2","1","2.2"
"222","Ross Dwelley","SF","TE","2.2","1","2.2"
"224","Robby Anderson","CAR","WR","2.1","1","2.1"
"224","Joshua Kelley","LAC","RB","2.1","1","2.1"
"224","A.J. Brown","TEN","WR","2.1","1","2.1"
"224","DeMichael Harris","IND","WR","2.1","1","2.1"
"228","Jakob Johnson","NE","RB","2.0","1","2.0"
"228","Ryan Izzo","NE","TE","2.0","1","2.0"
"230","Patrick Laird","MIA","RB","1.9","1","1.9"
"230","Adam Shaheen","MIA","TE","1.9","1","1.9"
"230","Travis Homer","SEA","RB","1.9","1","1.9"
