"Rank","Player","Team","Position","Points","Games","Avg"
"1","Jalen Hurts","PHI","QB","37.8","1","37.8"
"2","Josh Allen","BUF","QB","37.7","1","37.7"
"3","Ryan Tannehill","TEN","QB","37.0","1","37.0"
"4","Kyler Murray","ARI","QB","34.1","1","34.1"
"5","Lamar Jackson","BAL","QB","30.2","1","30.2"
"6","David Montgomery","CHI","RB","28.2","1","28.2"
"7","Justin Herbert","LAC","QB","28.0","1","28.0"
"8","Matt Ryan","ATL","QB","27.8","1","27.8"
"9","Marcus Mariota","LV","QB","26.8","1","26.8"
"10","Patrick Mahomes II","KC","QB","25.9","1","25.9"
"11","Tony Pollard","DAL","RB","25.2","1","25.2"
"12","Deshaun Watson","HOU","QB","23.4","1","23.4"
"12","Tom Brady","TB","QB","23.4","1","23.4"
"14","Derrick Henry","TEN","RB","23.2","1","23.2"
"15","Calvin Ridley","ATL","WR","22.3","1","22.3"
"16","Dalvin Cook","MIN","RB","21.9","1","21.9"
"17","Aaron Jones","GB","RB","21.8","1","21.8"
"18","Giovani Bernard","CIN","RB","21.7","1","21.7"
"19","Baker Mayfield","CLE","QB","21.0","1","21.0"
"19","DeAndre Hopkins","ARI","WR","21.0","1","21.0"
"19","Darren Waller","LV","TE","21.0","1","21.0"
"22","Salvon Ahmed","MIA","RB","20.7","1","20.7"
"23","Drew Brees","NO","QB","20.4","1","20.4"
"24","Kirk Cousins","MIN","QB","20.3","1","20.3"
"25","Melvin Gordon III","DEN","RB","20.1","1","20.1"
"26","Zach Pascal","IND","WR","19.9","1","19.9"
"27","Tua Tagovailoa","MIA","QB","19.7","1","19.7"
"28","Leonard Fournette","TB","RB","18.5","1","18.5"
"29","Ryan Finley","CIN","QB","18.3","1","18.3"
"29","Aaron Rodgers","GB","QB","18.3","1","18.3"
"31","D'Andre Swift","DET","RB","18.2","1","18.2"
"32","Cairo Santos","CHI","K","18.0","1","18.0"
"33","Josh Jacobs","LV","RB","17.4","1","17.4"
"34","Andy Dalton","DAL","QB","17.2","1","17.2"
"34","Marvin Jones Jr.","DET","WR","17.2","1","17.2"
"36","Philip Rivers","IND","QB","17.0","1","17.0"
"36","Corey Davis","TEN","WR","17.0","1","17.0"
"38","Teddy Bridgewater","CAR","QB","16.9","1","16.9"
"39","J.D. McKissic","WAS","RB","16.7","1","16.7"
"39","Benny Snell Jr.","PIT","RB","16.7","1","16.7"
"41","Dwayne Haskins","WAS","QB","16.6","1","16.6"
"42","Jared Goff","LAR","QB","16.3","1","16.3"
"43","Gardner Minshew II","JAC","QB","15.9","1","15.9"
"44","Robert Woods","LAR","WR","15.6","1","15.6"
"45","Jonathan Taylor","IND","RB","15.5","1","15.5"
"46","Alvin Kamara","NO","RB","15.4","1","15.4"
"47","Matthew Stafford","DET","QB","15.3","1","15.3"
"47","Antonio Brown","TB","WR","15.3","1","15.3"
"49","Nick Folk","NE","K","15.0","1","15.0"
"49","Dallas Cowboys","DAL","DST","15.0","1","15.0"
"51","Travis Kelce","KC","TE","14.8","1","14.8"
"52","Stefon Diggs","BUF","WR","14.7","1","14.7"
"53","Kendrick Bourne","SF","WR","14.6","1","14.6"
"54","Mitchell Trubisky","CHI","QB","14.5","1","14.5"
"54","CeeDee Lamb","DAL","WR","14.5","1","14.5"
"56","Devin Singletary","BUF","RB","14.4","1","14.4"
"57","J.K. Dobbins","BAL","RB","14.1","1","14.1"
"57","Sam Darnold","NYJ","QB","14.1","1","14.1"
"59","Le'Veon Bell","Multi","RB","13.6","1","13.6"
"60","Greg Ward","PHI","WR","13.5","1","13.5"
"60","Nick Mullens","SF","QB","13.5","1","13.5"
"62","David Johnson","HOU","RB","13.3","1","13.3"
"62","Brandon Aiyuk","SF","WR","13.3","1","13.3"
"64","D.J. Moore","CAR","WR","13.2","1","13.2"
"65","Russell Wilson","SEA","QB","13.0","1","13.0"
"65","Greg Zuerlein","DAL","K","13.0","1","13.0"
"67","Noah Fant","DEN","TE","12.8","1","12.8"
"67","Russell Gage","ATL","WR","12.8","1","12.8"
"69","Tyler Higbee","LAR","TE","12.7","1","12.7"
"70","Mark Andrews","BAL","TE","12.6","1","12.6"
"70","Chase Edmonds","ARI","RB","12.6","1","12.6"
"70","Nick Chubb","CLE","RB","12.6","1","12.6"
"73","Darnell Mooney","CHI","WR","12.5","1","12.5"
"73","Hunter Henry","LAC","TE","12.5","1","12.5"
"73","Frank Gore","NYJ","RB","12.5","1","12.5"
"76","Carlos Hyde","SEA","RB","12.3","1","12.3"
"77","Cam Newton","NE","QB","12.2","1","12.2"
"78","Jarvis Landry","CLE","WR","12.1","1","12.1"
"78","Tyron Johnson","LAC","WR","12.1","1","12.1"
"80","Jeff Wilson Jr.","SF","RB","12.0","1","12.0"
"80","Tyler Bass","BUF","K","12.0","1","12.0"
"80","Buffalo Bills","BUF","DST","12.0","1","12.0"
"83","Diontae Johnson","PIT","WR","11.9","1","11.9"
"84","Tyler Conklin","MIN","TE","11.7","1","11.7"
"84","Darrynton Evans","TEN","RB","11.7","1","11.7"
"86","Ty Johnson","Multi","RB","11.5","1","11.5"
"86","Chad Hansen","HOU","WR","11.5","1","11.5"
"88","Tyreek Hill","KC","WR","11.4","1","11.4"
"89","James Robinson","JAC","RB","11.3","1","11.3"
"90","Cole Beasley","BUF","WR","11.2","1","11.2"
"91","Mike Evans","TB","WR","11.0","1","11.0"
"91","Rodrigo Blankenship","IND","K","11.0","1","11.0"
"91","Drew Lock","DEN","QB","11.0","1","11.0"
"91","Younghoe Koo","ATL","K","11.0","1","11.0"
"91","Sam Ficken","NYJ","K","11.0","1","11.0"
"96","Justin Jefferson","MIN","WR","10.4","1","10.4"
"96","A.J. Brown","TEN","WR","10.4","1","10.4"
"98","Austin Hooper","CLE","TE","10.1","1","10.1"
"98","Logan Thomas","WAS","TE","10.1","1","10.1"
"100","Quez Watkins","PHI","WR","10.0","1","10.0"
