"Rank","Player","Team","Position","Points","Games","Avg"
"1","Cam Newton","NE","QB","37.5","1","37.5"
"2","Jonathan Taylor","IND","RB","37.4","1","37.4"
"3","Derrick Henry","TEN","RB","35.0","1","35.0"
"4","Kirk Cousins","MIN","QB","34.3","1","34.3"
"5","Justin Herbert","LAC","QB","33.0","1","33.0"
"6","Tom Brady","TB","QB","31.3","1","31.3"
"7","Marvin Jones Jr.","DET","WR","30.0","1","30.0"
"8","Brandin Cooks","HOU","WR","28.6","1","28.6"
"9","Ryan Tannehill","TEN","QB","28.4","1","28.4"
"10","J.K. Dobbins","BAL","RB","28.0","1","28.0"
"11","Deshaun Watson","HOU","QB","26.8","1","26.8"
"12","Alexander Mattison","MIN","RB","26.5","1","26.5"
"13","Aaron Rodgers","GB","QB","26.0","1","26.0"
"14","Antonio Brown","TB","WR","25.8","1","25.8"
"15","Sterling Shepard","NYG","WR","25.6","1","25.6"
"16","Chris Godwin","TB","WR","25.3","1","25.3"
"17","Lamar Jackson","BAL","QB","25.2","1","25.2"
"18","Isaiah McKenzie","BUF","WR","24.5","1","24.5"
"19","Drew Lock","DEN","QB","24.3","1","24.3"
"20","Matthew Stafford","DET","QB","23.6","1","23.6"
"21","Darwin Thompson","KC","RB","23.0","1","23.0"
"22","Derek Carr","LV","QB","22.9","1","22.9"
"23","Matt Ryan","ATL","QB","22.7","1","22.7"
"24","Jerry Jeudy","DEN","WR","22.0","1","22.0"
"25","A.J. Brown","TEN","WR","21.1","1","21.1"
"26","Tyler Lockett","SEA","WR","21.0","1","21.0"
"26","Buffalo Bills","BUF","DST","21.0","1","21.0"
"28","Josh Jacobs","LV","RB","20.9","1","20.9"
"29","Jeff Wilson Jr.","SF","RB","20.8","1","20.8"
"30","Antonio Williams","BUF","RB","20.3","1","20.3"
"30","Josh Allen","BUF","QB","20.3","1","20.3"
"32","Los Angeles Rams","LAR","DST","20.0","1","20.0"
"32","Drew Brees","NO","QB","20.0","1","20.0"
"34","Mason Rudolph","PIT","QB","19.7","1","19.7"
"35","Sony Michel","NE","RB","19.6","1","19.6"
"36","David Montgomery","CHI","RB","19.2","1","19.2"
"37","Laviska Shenault Jr.","JAC","WR","18.6","1","18.6"
"38","Tua Tagovailoa","MIA","QB","18.2","1","18.2"
"39","Russell Wilson","SEA","QB","18.1","1","18.1"
"40","David Johnson","HOU","RB","18.0","1","18.0"
"41","Darren Waller","LV","TE","17.7","1","17.7"
"42","Jalen Hurts","PHI","QB","17.3","1","17.3"
"43","Ka'imi Fairbairn","HOU","K","17.0","1","17.0"
"43","Melvin Gordon III","DEN","RB","17.0","1","17.0"
"43","New Orleans Saints","NO","DST","17.0","1","17.0"
"46","Mike Williams","LAC","WR","16.8","1","16.8"
"46","Nick Chubb","CLE","RB","16.8","1","16.8"
"48","Gabriel Davis","BUF","WR","16.7","1","16.7"
"48","Chad Henne","KC","QB","16.7","1","16.7"
"50","Mike Glennon","JAC","QB","16.6","1","16.6"
"51","Baker Mayfield","CLE","QB","16.2","1","16.2"
"51","Russell Gage","ATL","WR","16.2","1","16.2"
"53","Marquise Brown","BAL","WR","16.1","1","16.1"
"53","Chase Claypool","PIT","WR","16.1","1","16.1"
"55","Greg Zuerlein","DAL","K","16.0","1","16.0"
"56","Daniel Jones","NYG","QB","15.9","1","15.9"
"57","Marquez Valdes-Scantling","GB","WR","15.1","1","15.1"
"58","Aaron Jones","GB","RB","14.5","1","14.5"
"59","Ryan Succop","TB","K","14.0","1","14.0"
"60","C.J. Beathard","SF","QB","13.9","1","13.9"
"61","John Wolford","LAR","QB","13.8","1","13.8"
"61","Ronald Jones II","TB","RB","13.8","1","13.8"
"63","Myles Gaskin","MIA","RB","13.7","1","13.7"
"64","Brian Hill","ATL","RB","13.6","1","13.6"
"64","Andy Dalton","DAL","QB","13.6","1","13.6"
"66","Justin Jefferson","MIN","WR","13.3","1","13.3"
"67","John Brown","BUF","WR","13.2","1","13.2"
"68","D'Andre Swift","DET","RB","13.0","1","13.0"
"69","Sam Darnold","NYJ","QB","12.9","1","12.9"
"70","JuJu Smith-Schuster","PIT","WR","12.5","1","12.5"
"70","Alex Smith","WAS","QB","12.5","1","12.5"
"72","Justin Jackson","LAC","RB","12.4","1","12.4"
"73","Emmanuel Sanders","NO","WR","12.3","1","12.3"
"73","Jakobi Meyers","NE","WR","12.3","1","12.3"
"73","Adrian Peterson","DET","RB","12.3","1","12.3"
"73","Chris Herndon IV","NYJ","TE","12.3","1","12.3"
"77","Ezekiel Elliott","DAL","RB","12.1","1","12.1"
"77","Curtis Samuel","CAR","WR","12.1","1","12.1"
"79","Sam Sloman","Multi","K","12.0","1","12.0"
"79","Matthew Wright","PIT","K","12.0","1","12.0"
"79","Tristan Vizcaino","SF","K","12.0","1","12.0"
"82","Josh Adams","NYJ","RB","11.9","1","11.9"
"83","DeVante Parker","MIA","WR","11.6","1","11.6"
"84","Philip Rivers","IND","QB","11.4","1","11.4"
"84","Jarvis Landry","CLE","WR","11.4","1","11.4"
"86","Mitchell Trubisky","CHI","QB","11.3","1","11.3"
"87","Byron Pringle","KC","WR","11.2","1","11.2"
"88","Austin Ekeler","LAC","RB","11.1","1","11.1"
"88","Quintez Cephus","DET","WR","11.1","1","11.1"
"88","Bryan Edwards","LV","WR","11.1","1","11.1"
"91","Baltimore Ravens","BAL","DST","11.0","1","11.0"
"91","Brandon McManus","DEN","K","11.0","1","11.0"
"93","Salvon Ahmed","MIA","RB","10.8","1","10.8"
"93","Pharaoh Brown","HOU","TE","10.8","1","10.8"
"95","T.Y. Hilton","IND","WR","10.7","1","10.7"
"95","Ty Montgomery","NO","RB","10.7","1","10.7"
"97","Davante Adams","GB","WR","10.6","1","10.6"
"97","Taysom Hill","NO","QB","10.6","1","10.6"
"99","Rodney Smith","CAR","RB","10.4","1","10.4"
"99","Chad Beebe","MIN","WR","10.4","1","10.4"
"101","Miles Boykin","BAL","WR","10.3","1","10.3"
"101","Jared Cook","NO","TE","10.3","1","10.3"
"101","Dante Pettis","Multi","WR","10.3","1","10.3"
"104","D.J. Moore","CAR","WR","10.1","1","10.1"
"105","Washington Football Team","WAS","DST","10.0","1","10.0"
"105","Dustin Hopkins","WAS","K","10.0","1","10.0"
"105","Arizona Cardinals","ARI","DST","10.0","1","10.0"
"105","Wil Lutz","NO","K","10.0","1","10.0"
"105","Cairo Santos","CHI","K","10.0","1","10.0"
"105","Matt Gay","LAR","K","10.0","1","10.0"
"105","Terry McLaurin","WAS","WR","10.0","1","10.0"
"105","Denver Broncos","DEN","DST","10.0","1","10.0"
"113","Devin Asiasi","NE","TE","9.9","1","9.9"
"114","Donald Parham Jr.","LAC","TE","9.7","1","9.7"
"114","Austin Hooper","CLE","TE","9.7","1","9.7"
"114","Logan Thomas","WAS","TE","9.7","1","9.7"
"117","Diontae Johnson","PIT","WR","9.6","1","9.6"
"117","Kalen Ballage","Multi","RB","9.6","1","9.6"
"119","Matt Barkley","BUF","QB","9.3","1","9.3"
"119","Darnell Mooney","CHI","WR","9.3","1","9.3"
"121","James White","NE","RB","9.1","1","9.1"
"122","Keke Coutee","HOU","WR","9.0","1","9.0"
"122","Jason Sanders","MIA","K","9.0","1","9.0"
"122","Younghoe Koo","ATL","K","9.0","1","9.0"
"122","Indianapolis Colts","IND","DST","9.0","1","9.0"
"122","New York Giants","NYG","DST","9.0","1","9.0"
