"Rank","Player","REC","TGT","RE_YDS","Y/R","LG","20+","RE_TD","RU_ATT","RU_YDS","RU_TD","FL","G","FPTS","FPTS/G","OWN"
"51","Marcedes Lewis (GB)","10","17","107","10.7","36","0","3","0","0","0","0","15","28.7","1.9","0.1%"
"52","Pharaoh Brown (HOU)","14","16","163","11.6","29","0","2","0","0","0","0","13","28.3","2.2","0.0%"
"53","O.J. Howard (TB)","11","19","146","13.3","33","0","2","0","0","0","0","4","26.6","6.7","4.7%"
"54","James O'Shaughnessy (JAC)","28","38","262","9.4","26","0","0","0","0","0","0","15","26.2","1.7","0.2%"
"55","Foster Moreau (LV)","7","9","140","20.0","47","0","2","0","0","0","0","16","26.0","1.6","0.2%"
"56","Tyler Conklin (MIN)","19","26","194","10.2","30","0","1","0","0","0","0","16","25.4","1.6","0.2%"
"57","Jesse James (CHI)","14","22","129","9.2","31","0","2","0","0","0","0","16","24.9","1.6","0.0%"
"58","Nick Boyle (BAL)","14","17","113","8.1","21","0","2","0","0","0","0","9","23.3","2.6","0.1%"
"59","Adam Trautman (NO)","15","16","171","11.4","41","0","1","0","0","0","0","15","23.1","1.5","36.4%"
"60","Ian Thomas (CAR)","20","31","145","7.3","21","0","1","0","0","0","0","16","20.5","1.3","0.1%"
"61","Jason Witten (FA)","13","17","69","5.3","15","0","2","0","0","0","0","16","18.9","1.2","0.1%"
"62","Albert Okwuegbunam (DEN)","11","15","121","11.0","27","0","1","0","0","0","0","4","18.1","4.5","0.3%"
"63","Ryan Izzo (HOU)","13","20","199","15.3","50","0","0","0","0","0","1","12","17.9","1.5","0.0%"
"64","Jace Sternberger (GB)","12","15","114","9.5","27","0","1","0","0","0","0","12","17.4","1.5","0.1%"
"65","MyCole Pruitt (SF)","5","8","49","9.8","22","0","2","0","0","0","0","11","16.9","1.5","0.0%"
"66","Maxx Williams (ARI)","8","10","102","12.8","42","0","1","0","0","0","0","9","16.2","1.8","0.2%"
"67","Lee Smith (ATL)","4","6","35","8.8","27","0","2","0","0","0","0","10","15.5","1.6","0.0%"
"68","Nick Vannett (NO)","14","21","95","6.8","19","0","1","0","0","0","0","15","15.5","1.0","0.1%"
"69","Darrell Daniels (ARI)","8","11","92","11.5","31","0","1","0","0","0","0","12","15.2","1.3","0.0%"
"70","C.J. Uzomah (CIN)","8","11","87","10.9","23","0","1","0","0","0","0","2","14.7","7.4","0.8%"
"71","Geoff Swaim (TEN)","9","12","83","9.2","16","0","1","0","0","0","0","10","14.3","1.4","0.1%"
"72","Troy Fumagalli (NE)","8","15","80","10.0","29","0","1","0","0","0","0","8","14.0","1.8","0.0%"
"73","Kaden Smith (NYG)","18","21","112","6.2","16","0","0","0","0","0","0","15","11.2","0.7","0.0%"
"74","Blake Bell (KC)","11","15","110","10.0","24","0","0","1","2","0","0","16","11.2","0.7","0.1%"
"75","Virgil Green (FA)","3","6","50","16.7","26","0","1","0","0","0","0","6","11.0","1.8","0.0%"
