"Rank","Player","Team","Position","Points","Games","Avg"
"1","Tyreek Hill","KC","WR","44.9","1","44.9"
"2","Derrick Henry","TEN","RB","36.5","1","36.5"
"3","Deshaun Watson","HOU","QB","33.1","1","33.1"
"4","Antonio Gibson","WAS","RB","31.6","1","31.6"
"5","Patrick Mahomes II","KC","QB","31.3","1","31.3"
"6","Will Fuller V","HOU","WR","29.1","1","29.1"
"7","Atlanta Falcons","ATL","DST","28.0","1","28.0"
"8","Kirk Cousins","MIN","QB","26.2","1","26.2"
"9","Aaron Rodgers","GB","QB","25.6","1","25.6"
"10","Latavius Murray","NO","RB","24.6","1","24.6"
"11","Tom Brady","TB","QB","23.7","1","23.7"
"12","Nick Chubb","CLE","RB","23.6","1","23.6"
"13","James Robinson","JAC","RB","21.9","1","21.9"
"14","A.J. Brown","TEN","WR","21.8","1","21.8"
"15","Kenyan Drake","ARI","RB","21.3","1","21.3"
"16","Younghoe Koo","ATL","K","21.0","1","21.0"
"17","Mitchell Trubisky","CHI","QB","20.7","1","20.7"
"18","Jarvis Landry","CLE","WR","20.3","1","20.3"
"18","David Montgomery","CHI","RB","20.3","1","20.3"
"20","Carson Wentz","PHI","QB","19.8","1","19.8"
"21","Allen Robinson II","CHI","WR","19.4","1","19.4"
"22","Ryan Fitzpatrick","MIA","QB","19.3","1","19.3"
"23","Ryan Tannehill","TEN","QB","19.1","1","19.1"
"24","Carolina Panthers","CAR","DST","19.0","1","19.0"
"24","Justin Jefferson","MIN","WR","19.0","1","19.0"
"26","Philip Rivers","IND","QB","18.8","1","18.8"
"27","Taysom Hill","NO","QB","18.5","1","18.5"
"28","Baker Mayfield","CLE","QB","18.4","1","18.4"
"29","Mike Glennon","JAC","QB","18.0","1","18.0"
"30","D.K. Metcalf","SEA","WR","17.7","1","17.7"
"31","Adrian Peterson","DET","RB","17.5","1","17.5"
"32","Justin Herbert","LAC","QB","17.4","1","17.4"
"33","Amari Cooper","DAL","WR","17.2","1","17.2"
"34","Matthew Stafford","DET","QB","17.1","1","17.1"
"35","San Francisco 49ers","SF","DST","17.0","1","17.0"
"35","Mike Evans","TB","WR","17.0","1","17.0"
"37","Josh Allen","BUF","QB","16.5","1","16.5"
"38","Ronald Jones II","TB","RB","16.3","1","16.3"
"39","Houston Texans","HOU","DST","16.0","1","16.0"
"40","Collin Johnson","JAC","WR","15.6","1","15.6"
"41","Robby Anderson","CAR","WR","15.4","1","15.4"
"42","Wayne Gallman","NYG","RB","15.1","1","15.1"
"43","Green Bay Packers","GB","DST","15.0","1","15.0"
"43","Washington Football Team","WAS","DST","15.0","1","15.0"
"43","Graham Gano","NYG","K","15.0","1","15.0"
"43","Los Angeles Rams","LAR","DST","15.0","1","15.0"
"47","Matt Ryan","ATL","QB","14.9","1","14.9"
"47","Teddy Bridgewater","CAR","QB","14.9","1","14.9"
"49","Marquise Brown","BAL","WR","14.5","1","14.5"
