"Rank","Player","Team","Position","Points","Games","Avg"
"1","Deshaun Watson","HOU","QB","31.4","1","31.4"
"2","Justin Herbert","LAC","QB","27.7","1","27.7"
"3","Jared Goff","LAR","QB","25.0","1","25.0"
"4","Adam Thielen","MIN","WR","24.3","1","24.3"
"5","Taysom Hill","NO","QB","24.2","1","24.2"
"6","Kirk Cousins","MIN","QB","23.0","1","23.0"
"7","Ryan Tannehill","TEN","QB","22.9","1","22.9"
"8","Aaron Rodgers","GB","QB","22.7","1","22.7"
"9","Derek Carr","LV","QB","22.6","1","22.6"
"10","Patrick Mahomes II","KC","QB","22.5","1","22.5"
"11","Philip Rivers","IND","QB","22.4","1","22.4"
"12","Damiere Byrd","NE","WR","20.3","1","20.3"
"12","Kyler Murray","ARI","QB","20.3","1","20.3"
"14","Russell Wilson","SEA","QB","20.1","1","20.1"
"15","Cleveland Browns","CLE","DST","20.0","1","20.0"
"15","Dalvin Cook","MIN","RB","20.0","1","20.0"
"17","Clyde Edwards-Helaire","KC","RB","19.7","1","19.7"
"18","Andy Dalton","DAL","QB","19.3","1","19.3"
"19","Cam Newton","NE","QB","19.2","1","19.2"
"19","Derrick Henry","TEN","RB","19.2","1","19.2"
"21","Travis Kelce","KC","TE","18.9","1","18.9"
"22","Robert Woods","LAR","WR","18.6","1","18.6"
"23","Keenan Allen","LAC","WR","18.5","1","18.5"
"24","Melvin Gordon III","DEN","RB","18.4","1","18.4"
"25","Ben Roethlisberger","PIT","QB","17.7","1","17.7"
"26","Lamar Jackson","BAL","QB","17.5","1","17.5"
"27","Ezekiel Elliott","DAL","RB","17.4","1","17.4"
"28","Pittsburgh Steelers","PIT","DST","17.0","1","17.0"
"28","Carolina Panthers","CAR","DST","17.0","1","17.0"
"30","Davante Adams","GB","WR","16.6","1","16.6"
"31","J.K. Dobbins","BAL","RB","16.5","1","16.5"
"32","Antonio Gibson","WAS","RB","16.4","1","16.4"
"32","Carson Wentz","PHI","QB","16.4","1","16.4"
"34","Tyreek Hill","KC","WR","16.0","1","16.0"
"34","New Orleans Saints","NO","DST","16.0","1","16.0"
"36","Mark Andrews","BAL","TE","15.6","1","15.6"
"37","Carlos Hyde","SEA","RB","15.5","1","15.5"
"38","Joe Flacco","NYJ","QB","15.4","1","15.4"
"39","Rodrigo Blankenship","IND","K","15.0","1","15.0"
"40","Darren Waller","LV","TE","14.8","1","14.8"
"40","D.J. Moore","CAR","WR","14.8","1","14.8"
"40","Nelson Agholor","LV","WR","14.8","1","14.8"
"43","Justin Jefferson","MIN","WR","14.6","1","14.6"
"43","Tom Brady","TB","QB","14.6","1","14.6"
"45","Cooper Kupp","LAR","WR","14.5","1","14.5"
"46","Mike Davis","CAR","RB","13.9","1","13.9"
"47","Dallas Goedert","PHI","TE","13.7","1","13.7"
"48","Curtis Samuel","CAR","WR","13.4","1","13.4"
"49","Mike Williams","LAC","WR","13.2","1","13.2"
"50","Frank Gore","NYJ","RB","13.1","1","13.1"
"50","Aaron Jones","GB","RB","13.1","1","13.1"
"52","Younghoe Koo","ATL","K","13.0","1","13.0"
"53","Tyler Lockett","SEA","WR","12.7","1","12.7"
"54","Michael Pittman Jr.","IND","WR","12.6","1","12.6"
"54","CeeDee Lamb","DAL","WR","12.6","1","12.6"
"56","Josh Jacobs","LV","RB","12.4","1","12.4"
"57","A.J. Brown","TEN","WR","12.2","1","12.2"
"58","DeVante Parker","MIA","WR","12.1","1","12.1"
"58","Drew Lock","DEN","QB","12.1","1","12.1"
"58","Phillip Walker","CAR","QB","12.1","1","12.1"
"61","Kenyan Drake","ARI","RB","12.0","1","12.0"
"61","Washington Football Team","WAS","DST","12.0","1","12.0"
"61","Tony Pollard","DAL","RB","12.0","1","12.0"
"61","Denver Broncos","DEN","DST","12.0","1","12.0"
"61","Stephen Gostkowski","TEN","K","12.0","1","12.0"
"66","Chase Claypool","PIT","WR","11.9","1","11.9"
"66","Tim Patrick","DEN","WR","11.9","1","11.9"
"68","Nick Chubb","CLE","RB","11.4","1","11.4"
"68","Breshad Perriman","NYJ","WR","11.4","1","11.4"
"68","Damien Harris","NE","RB","11.4","1","11.4"
"68","Jonathan Taylor","IND","RB","11.4","1","11.4"
"72","Corey Davis","TEN","WR","11.3","1","11.3"
"72","Joe Burrow","CIN","QB","11.3","1","11.3"
"72","Chris Godwin","TB","WR","11.3","1","11.3"
"75","Diontae Johnson","PIT","WR","11.1","1","11.1"
"76","Michael Badgley","LAC","K","11.0","1","11.0"
"76","Chris Boswell","PIT","K","11.0","1","11.0"
"78","Mike Evans","TB","WR","10.9","1","10.9"
"78","Chase Edmonds","ARI","RB","10.9","1","10.9"
"80","Hunter Henry","LAC","TE","10.8","1","10.8"
"80","Richard Rodgers","PHI","TE","10.8","1","10.8"
