"Rank","Player","Team","Position","Points","Games","Avg"
"1","Derrick Henry","TEN","RB","38.4","1","38.4"
"2","Deshaun Watson","HOU","QB","32.0","1","32.0"
"3","Matt Ryan","ATL","QB","31.6","1","31.6"
"4","Justin Jefferson","MIN","WR","30.6","1","30.6"
"5","Ryan Tannehill","TEN","QB","29.6","1","29.6"
"6","Carson Wentz","PHI","QB","29.4","1","29.4"
"7","Kyler Murray","ARI","QB","28.9","1","28.9"
"8","Kenyan Drake","ARI","RB","28.4","1","28.4"
"9","Lamar Jackson","BAL","QB","28.2","1","28.2"
"10","Kirk Cousins","MIN","QB","26.7","1","26.7"
"11","Philip Rivers","IND","QB","25.7","1","25.7"
"11","Julio Jones","ATL","WR","25.7","1","25.7"
"13","D'Andre Swift","DET","RB","24.3","1","24.3"
"14","Ronald Jones II","TB","RB","24.1","1","24.1"
"15","Brandon McManus","DEN","K","24.0","1","24.0"
"16","Jimmy Garoppolo","SF","QB","23.5","1","23.5"
"17","Patrick Mahomes II","KC","QB","20.6","1","20.6"
"17","Christian Kirk","ARI","WR","20.6","1","20.6"
"19","Younghoe Koo","ATL","K","20.0","1","20.0"
"20","Cam Newton","NE","QB","19.5","1","19.5"
"21","Tampa Bay Buccaneers","TB","DST","19.0","1","19.0"
"22","Will Fuller V","HOU","WR","18.3","1","18.3"
"23","Gardner Minshew II","JAC","QB","18.1","1","18.1"
"24","Ryan Fitzpatrick","MIA","QB","18.0","1","18.0"
"24","Pittsburgh Steelers","PIT","DST","18.0","1","18.0"
"26","Trey Burton","IND","TE","17.9","1","17.9"
"27","A.J. Brown","TEN","WR","17.8","1","17.8"
"28","Joe Burrow","CIN","QB","17.7","1","17.7"
"29","Nick Foles","CHI","QB","17.3","1","17.3"
"29","Anthony Firkser","TEN","TE","17.3","1","17.3"
"31","Kyle Allen","WAS","QB","17.0","1","17.0"
"32","George Kittle","SF","TE","16.9","1","16.9"
"32","Clyde Edwards-Helaire","KC","RB","16.9","1","16.9"
"34","Travis Kelce","KC","TE","16.5","1","16.5"
"35","James Conner","PIT","RB","16.2","1","16.2"
"36","Josh Allen","BUF","QB","16.1","1","16.1"
"37","Justin Tucker","BAL","K","16.0","1","16.0"
"38","Jared Goff","LAR","QB","15.9","1","15.9"
"39","Arizona Cardinals","ARI","DST","15.0","1","15.0"
"39","Miami Dolphins","MIA","DST","15.0","1","15.0"
"41","Daniel Jones","NYG","QB","14.9","1","14.9"
"42","Tom Brady","TB","QB","14.6","1","14.6"
"43","Darren Fells","HOU","TE","14.5","1","14.5"
"44","Keelan Cole Sr.","JAC","WR","14.3","1","14.3"
"45","Chase Claypool","PIT","WR","14.1","1","14.1"
"46","Denver Broncos","DEN","DST","14.0","1","14.0"
"46","New York Giants","NYG","DST","14.0","1","14.0"
"48","Amari Cooper","DAL","WR","13.9","1","13.9"
"49","Rob Gronkowski","TB","TE","13.8","1","13.8"
"50","Travis Fulgham","PHI","WR","13.5","1","13.5"
"51","Matthew Stafford","DET","QB","13.3","1","13.3"
"52","Cairo Santos","CHI","K","13.0","1","13.0"
"52","Andy Dalton","DAL","QB","13.0","1","13.0"
"54","Joe Mixon","CIN","RB","12.9","1","12.9"
"54","Calvin Ridley","ATL","WR","12.9","1","12.9"
"54","David Johnson","HOU","RB","12.9","1","12.9"
"57","James Washington","PIT","WR","12.8","1","12.8"
"57","Brandin Cooks","HOU","WR","12.8","1","12.8"
"59","Tee Higgins","CIN","WR","12.7","1","12.7"
"60","Myles Gaskin","MIA","RB","12.6","1","12.6"
"61","Adam Humphries","TEN","WR","12.4","1","12.4"
"62","Deebo Samuel","SF","WR","12.0","1","12.0"
"62","Randy Bullock","CIN","K","12.0","1","12.0"
"64","Adrian Peterson","DET","RB","11.8","1","11.8"
"65","Hayden Hurst","ATL","TE","11.7","1","11.7"
"66","Jonathan Taylor","IND","RB","11.5","1","11.5"
"67","Zach Pascal","IND","WR","11.4","1","11.4"
"67","Teddy Bridgewater","CAR","QB","11.4","1","11.4"
"69","James Robinson","JAC","RB","11.3","1","11.3"
