"Rank","Player","Team","Position","Points","Games","Avg"
"1","Chase Claypool","PIT","WR","35.6","1","35.6"
"2","Patrick Mahomes II","KC","QB","30.7","1","30.7"
"3","Ryan Tannehill","TEN","QB","30.0","1","30.0"
"4","Ryan Fitzpatrick","MIA","QB","27.6","1","27.6"
"5","Justin Herbert","LAC","QB","27.4","1","27.4"
"6","Kyler Murray","ARI","QB","27.3","1","27.3"
"7","Deshaun Watson","HOU","QB","26.9","1","26.9"
"8","Baltimore Ravens","BAL","DST","26.0","1","26.0"
"9","Russell Wilson","SEA","QB","25.5","1","25.5"
"10","Jared Goff","LAR","QB","25.4","1","25.4"
"11","Derek Carr","LV","QB","25.0","1","25.0"
"12","Mike Williams","LAC","WR","22.9","1","22.9"
"13","Ezekiel Elliott","DAL","RB","22.5","1","22.5"
"14","Drew Brees","NO","QB","22.1","1","22.1"
"14","Brandin Cooks","HOU","WR","22.1","1","22.1"
"16","Jason Sanders","MIA","K","22.0","1","22.0"
"17","Miles Sanders","PHI","RB","21.9","1","21.9"
"18","Ben Roethlisberger","PIT","QB","21.4","1","21.4"
"19","D.K. Metcalf","SEA","WR","21.3","1","21.3"
"20","Travis Fulgham","PHI","WR","21.2","1","21.2"
"21","Todd Gurley II","ATL","RB","21.0","1","21.0"
"22","Mike Davis","CAR","RB","20.9","1","20.9"
"23","Teddy Bridgewater","CAR","QB","20.8","1","20.8"
"24","Josh Jacobs","LV","RB","20.5","1","20.5"
"25","Adam Thielen","MIN","WR","20.3","1","20.3"
"26","Graham Gano","NYG","K","20.0","1","20.0"
"27","Gardner Minshew II","JAC","QB","19.8","1","19.8"
"28","Carson Wentz","PHI","QB","19.4","1","19.4"
"29","DeAndre Hopkins","ARI","WR","19.1","1","19.1"
"30","Darrell Henderson","LAR","RB","18.8","1","18.8"
"31","Derrick Henry","TEN","RB","18.3","1","18.3"
"31","Josh Allen","BUF","QB","18.3","1","18.3"
"33","Henry Ruggs III","LV","WR","17.8","1","17.8"
"34","Baker Mayfield","CLE","QB","17.6","1","17.6"
"34","Jamison Crowder","NYJ","WR","17.6","1","17.6"
"36","Travis Kelce","KC","TE","16.8","1","16.8"
"37","Preston Williams","MIA","WR","16.6","1","16.6"
"38","Jonnu Smith","TEN","TE","16.0","1","16.0"
"39","D.J. Moore","CAR","WR","15.3","1","15.3"
"39","Kareem Hunt","CLE","RB","15.3","1","15.3"
"39","Tyreek Hill","KC","WR","15.3","1","15.3"
"42","Kirk Cousins","MIN","QB","15.2","1","15.2"
"42","Chase Edmonds","ARI","RB","15.2","1","15.2"
"44","Myles Gaskin","MIA","RB","15.1","1","15.1"
"45","Wil Lutz","NO","K","15.0","1","15.0"
"46","Dalvin Cook","MIN","RB","14.9","1","14.9"
"47","Devonta Freeman","NYG","RB","14.7","1","14.7"
"48","Lamar Jackson","BAL","QB","14.5","1","14.5"
"49","A.J. Brown","TEN","WR","14.2","1","14.2"
"50","Tom Brady","TB","QB","14.1","1","14.1"
"51","Ryan Succop","TB","K","14.0","1","14.0"
"51","Greg Zuerlein","DAL","K","14.0","1","14.0"
"53","Chris Carson","SEA","RB","13.9","1","13.9"
"54","Marquise Brown","BAL","WR","13.8","1","13.8"
"54","Joe Flacco","NYJ","QB","13.8","1","13.8"
"56","Alexander Mattison","MIN","RB","13.6","1","13.6"
"56","Calvin Ridley","ATL","WR","13.6","1","13.6"
"58","T.J. Yeldon","BUF","RB","13.4","1","13.4"
"58","Dak Prescott","DAL","QB","13.4","1","13.4"
"58","Jonathan Taylor","IND","RB","13.4","1","13.4"
"61","Robert Woods","LAR","WR","13.1","1","13.1"
"62","Cleveland Browns","CLE","DST","13.0","1","13.0"
"62","Cody Parkey","CLE","K","13.0","1","13.0"
"62","Ka'imi Fairbairn","HOU","K","13.0","1","13.0"
"62","Younghoe Koo","ATL","K","13.0","1","13.0"
"66","Darius Slayton","NYG","WR","12.9","1","12.9"
"67","Nelson Agholor","LV","WR","12.7","1","12.7"
"68","Nick Foles","CHI","QB","12.6","1","12.6"
