"Rank","Player","REC","TGT","RE_YDS","Y/R","LG","20+","RE_TD","RU_ATT","RU_YDS","RU_TD","FL","G","FPTS","FPTS/G","OWN"
"65","Josh Reynolds (TEN)","52","81","618","11.9","40","0","2","1","5","0","1","16","72.3","4.5","1.4%"
"66","Antonio Brown (TB)","45","62","483","10.7","46","0","4","2","-2","0","0","8","72.1","9.0","80.1%"
"67","Isaiah McKenzie (BUF)","30","34","282","9.4","46","0","5","10","9","0","0","16","69.6","4.4","0.2%"
"68","Scotty Miller (TB)","33","53","501","15.2","48","0","3","3","14","0","0","16","69.5","4.3","0.8%"
"69","James Washington (PIT)","30","56","392","13.1","50","0","5","0","0","0","0","16","69.2","4.3","0.9%"
"70","Breshad Perriman (DET)","30","60","505","16.8","53","0","3","1","6","0","0","12","69.1","5.8","7.2%"
"71","Tre'Quan Smith (NO)","34","50","448","13.2","31","0","4","1","3","0","0","14","69.1","4.9","10.7%"
"72","Jalen Guyton (LAC)","28","55","511","18.3","72","0","3","2","0","0","0","16","69.1","4.3","0.7%"
"73","Damiere Byrd (CHI)","47","77","604","12.9","42","0","1","2","15","0","0","16","67.9","4.2","0.6%"
"74","Allen Lazard (GB)","33","46","451","13.7","72","0","3","2","17","0","0","10","64.8","6.5","5.9%"
"75","A.J. Green (ARI)","47","104","523","11.1","33","0","2","0","0","0","0","16","64.3","4.0","16.8%"
"76","Odell Beckham Jr. (CLE)","23","43","319","13.9","43","0","3","3","72","1","0","7","63.8","9.1","92.8%"
"77","John Brown (LV)","33","52","458","13.9","46","0","3","0","0","0","0","9","63.8","7.1","14.2%"
"78","Demarcus Robinson (KC)","45","59","466","10.4","28","0","3","0","0","0","1","15","62.6","4.2","1.2%"
"79","Randall Cobb (GB)","38","48","441","11.6","34","0","3","0","0","0","0","10","62.1","6.2","18.3%"
"80","Willie Snead IV (LV)","33","48","432","13.1","34","0","3","0","0","0","0","13","61.2","4.7","0.2%"
"81","Danny Amendola (FA)","46","69","602","13.1","50","0","0","1","2","0","0","14","60.4","4.3","0.1%"
"82","Braxton Berrios (NYJ)","37","55","394","10.6","43","0","3","3","29","0","0","16","60.3","3.8","0.1%"
"83","KJ Hamler (DEN)","30","56","381","12.7","49","0","3","9","40","0","0","13","60.1","4.6","2.6%"
"84","Anthony Miller (HOU)","49","76","485","9.9","34","0","2","2","12","0","1","16","59.7","3.7","0.9%"
"85","Tyron Johnson (LAC)","20","26","398","19.9","55","0","3","3","17","0","0","12","59.5","5.0","0.6%"
"86","Michael Pittman Jr. (IND)","40","61","503","12.6","45","0","1","3","26","0","0","13","58.9","4.5","44.4%"
"87","Henry Ruggs III (LV)","26","43","452","17.4","72","0","2","9","49","0","2","13","58.1","4.5","57.0%"
"88","Chris Conley (HOU)","40","63","471","11.8","51","0","2","0","0","0","1","15","57.1","3.8","0.8%"
"89","Preston Williams (MIA)","18","35","288","16.0","47","0","4","0","0","0","0","8","56.8","7.1","0.8%"
"90","Jalen Reagor (PHI)","31","54","396","12.8","55","0","1","4","26","0","0","11","56.2","5.1","44.6%"
"91","Cam Sims (WAS)","32","48","477","14.9","50","0","1","1","5","0","0","16","54.2","3.4","0.1%"
"92","Keke Coutee (HOU)","33","40","400","12.1","64","0","3","0","0","0","3","8","54.0","6.8","0.8%"
"93","Golden Tate (FA)","35","52","388","11.1","39","0","2","0","0","0","0","12","51.5","4.3","0.1%"
"94","Sammy Watkins (BAL)","37","55","421","11.4","37","0","2","1","3","0","1","10","51.4","5.1","9.5%"
"95","Jakeem Grant Sr. (MIA)","36","54","373","10.4","30","0","1","3","20","0","0","14","51.3","3.7","0.6%"
