"Rank","Player","Team","Position","Points","Games","Avg"
"1","Derrick Henry","TEN","RB","34.6","1","34.6"
"2","CeeDee Lamb","DAL","WR","31.6","1","31.6"
"3","Josh Allen","BUF","QB","29.7","1","29.7"
"4","Cooper Kupp","LAR","WR","29.5","1","29.5"
"5","Kirk Cousins","MIN","QB","28.5","1","28.5"
"6","Jonathan Taylor","IND","RB","28.3","1","28.3"
"7","Dak Prescott","DAL","QB","27.8","1","27.8"
"8","Leonard Fournette","TB","RB","27.7","1","27.7"
"9","Matthew Stafford","LAR","QB","26.2","1","26.2"
"10","Jalen Hurts","PHI","QB","26.0","1","26.0"
"11","Kyler Murray","ARI","QB","25.8","1","25.8"
"12","Patrick Mahomes II","KC","QB","25.0","1","25.0"
"13","Adam Thielen","MIN","WR","24.3","1","24.3"
"14","Donovan Peoples-Jones","CLE","WR","24.1","1","24.1"
"15","Jaylen Waddle","MIA","WR","24.0","1","24.0"
"16","Joe Burrow","CIN","QB","23.8","1","23.8"
"16","Joe Mixon","CIN","RB","23.8","1","23.8"
"18","Darrell Henderson Jr.","LAR","RB","23.7","1","23.7"
"18","Aaron Rodgers","GB","QB","23.7","1","23.7"
"20","Tua Tagovailoa","MIA","QB","22.4","1","22.4"
"20","Darrel Williams","KC","RB","22.4","1","22.4"
"22","Najee Harris","PIT","RB","21.7","1","21.7"
"23","Derek Carr","LV","QB","21.5","1","21.5"
"24","Dalvin Cook","MIN","RB","21.3","1","21.3"
"24","Teddy Bridgewater","DEN","QB","21.3","1","21.3"
"26","Kenyan Drake","LV","RB","20.3","1","20.3"
"27","Noah Fant","DEN","TE","20.2","1","20.2"
"28","Antonio Brown","TB","WR","19.8","1","19.8"
"29","Marvin Jones Jr.","JAC","WR","19.5","1","19.5"
"30","Stefon Diggs","BUF","WR","19.4","1","19.4"
"30","Courtland Sutton","DEN","WR","19.4","1","19.4"
"32","Tom Brady","TB","QB","19.0","1","19.0"
"32","DeAndre Hopkins","ARI","WR","19.0","1","19.0"
"32","Aaron Jones","GB","RB","19.0","1","19.0"
"35","Cole Beasley","BUF","WR","18.3","1","18.3"
"36","Khalil Herbert","CHI","RB","18.2","1","18.2"
"37","Tyreek Hill","KC","WR","18.1","1","18.1"
"38","James Robinson","JAC","RB","17.6","1","17.6"
"39","Damien Harris","NE","RB","17.3","1","17.3"
"40","Henry Ruggs III","LV","WR","17.2","1","17.2"
"41","Carson Wentz","IND","QB","17.0","1","17.0"
"42","K.J. Osborn","MIN","WR","16.8","1","16.8"
"43","A.J. Green","ARI","WR","16.4","1","16.4"
"44","Alex Collins","SEA","RB","16.3","1","16.3"
"45","Sam Darnold","CAR","QB","16.1","1","16.1"
"46","Christian Kirk","ARI","WR","16.0","1","16.0"
"46","Los Angeles Rams","LAR","DST","16.0","1","16.0"
"46","Matthew Wright","JAC","K","16.0","1","16.0"
"49","Trevor Lawrence","JAC","QB","15.9","1","15.9"
"50","Mac Jones","NE","QB","15.8","1","15.8"
"51","Mike Gesicki","MIA","TE","15.5","1","15.5"
"52","Ezekiel Elliott","DAL","RB","15.4","1","15.4"
"53","Mark Andrews","BAL","TE","15.3","1","15.3"
"54","D'Andre Swift","DET","RB","15.2","1","15.2"
"55","Indianapolis Colts","IND","DST","15.0","1","15.0"
"55","Matt Prater","ARI","K","15.0","1","15.0"
"55","J.D. McKissic","WAS","RB","15.0","1","15.0"
"58","Josh Jacobs","LV","RB","14.7","1","14.7"
"59","Justin Fields","CHI","QB","14.3","1","14.3"
"60","Chris Evans","CIN","RB","14.2","1","14.2"
"61","Diontae Johnson","PIT","WR","14.1","1","14.1"
"62","Kendrick Bourne","NE","WR","14.0","1","14.0"
"63","Ryan Tannehill","TEN","QB","13.9","1","13.9"
"63","Travis Kelce","KC","TE","13.9","1","13.9"
"63","O.J. Howard","TB","TE","13.9","1","13.9"
"66","Ricky Seals-Jones","WAS","TE","13.8","1","13.8"
"66","Lamar Jackson","BAL","QB","13.8","1","13.8"
"68","Rhamondre Stevenson","NE","RB","13.7","1","13.7"
"69","Brandin Cooks","HOU","WR","13.4","1","13.4"
"70","Baker Mayfield","CLE","QB","13.2","1","13.2"
"71","Dallas Cowboys","DAL","DST","13.0","1","13.0"
"71","Darnell Mooney","CHI","WR","13.0","1","13.0"
"71","Greg Zuerlein","DAL","K","13.0","1","13.0"
"71","Las Vegas Raiders","LV","DST","13.0","1","13.0"
"71","Chuba Hubbard","CAR","RB","13.0","1","13.0"
"71","Chris Boswell","PIT","K","13.0","1","13.0"
"71","Tyler Bass","BUF","K","13.0","1","13.0"
"78","A.J. Brown","TEN","WR","12.6","1","12.6"
"78","Sterling Shepard","NYG","WR","12.6","1","12.6"
"78","Latavius Murray","BAL","RB","12.6","1","12.6"
"81","Demarcus Robinson","KC","WR","12.1","1","12.1"
"82","Daniel Carlson","LV","K","12.0","1","12.0"
"82","Justin Herbert","LAC","QB","12.0","1","12.0"
"82","Justin Tucker","BAL","K","12.0","1","12.0"
"82","Arizona Cardinals","ARI","DST","12.0","1","12.0"
"86","Tim Patrick","DEN","WR","11.7","1","11.7"
"86","Ja'Marr Chase","CIN","WR","11.7","1","11.7"
"88","Parris Campbell","IND","WR","11.6","1","11.6"
"88","Emmanuel Sanders","BUF","WR","11.6","1","11.6"
"90","T.J. Hockenson","DET","TE","11.4","1","11.4"
"91","Devonta Freeman","BAL","RB","11.3","1","11.3"
"92","Evan McPherson","CIN","K","11.0","1","11.0"
"92","Randy Bullock","TEN","K","11.0","1","11.0"
"92","Baltimore Ravens","BAL","DST","11.0","1","11.0"
"95","Ben Roethlisberger","PIT","QB","10.9","1","10.9"
"95","Davante Adams","GB","WR","10.9","1","10.9"
"95","Zach Ertz","Multi","TE","10.9","1","10.9"
"98","Jared Cook","LAC","TE","10.5","1","10.5"
"99","Dalton Schultz","DAL","TE","10.4","1","10.4"
"99","Odell Beckham Jr.","Multi","WR","10.4","1","10.4"
"101","Jamal Agnew","JAC","WR","10.3","1","10.3"
"101","Geno Smith","SEA","QB","10.3","1","10.3"
"101","Taylor Heinicke","WAS","QB","10.3","1","10.3"
"104","Allen Lazard","GB","WR","10.2","1","10.2"
"105","Robert Woods","LAR","WR","10.1","1","10.1"
"106","T.Y. Hilton","IND","WR","10.0","1","10.0"
"106","Justin Jefferson","MIN","WR","10.0","1","10.0"
"106","Minnesota Vikings","MIN","DST","10.0","1","10.0"
"106","Greg Joseph","MIN","K","10.0","1","10.0"
"106","Dustin Hopkins","Multi","K","10.0","1","10.0"
"106","Jason Myers","SEA","K","10.0","1","10.0"
"112","Hunter Henry","NE","TE","9.5","1","9.5"
"113","Mo Alie-Cox","IND","TE","9.3","1","9.3"
"113","Kareem Hunt","CLE","RB","9.3","1","9.3"
"113","Pat Freiermuth","PIT","TE","9.3","1","9.3"
"116","Jared Goff","DET","QB","9.2","1","9.2"
"117","Mark Ingram II","Multi","RB","9.1","1","9.1"
"118","Harrison Butker","KC","K","9.0","1","9.0"
"118","Zane Gonzalez","CAR","K","9.0","1","9.0"
"118","Carolina Panthers","CAR","DST","9.0","1","9.0"
"118","C.J. Uzomah","CIN","TE","9.0","1","9.0"
"122","Jakobi Meyers","NE","WR","8.9","1","8.9"
"122","Devontae Booker","NYG","RB","8.9","1","8.9"
"124","Melvin Gordon III","DEN","RB","8.8","1","8.8"
"124","DK Metcalf","SEA","WR","8.8","1","8.8"
"126","Tyler Conklin","MIN","TE","8.6","1","8.6"
"126","Robbie Anderson","CAR","WR","8.6","1","8.6"
"128","Darren Waller","LV","TE","8.4","1","8.4"
"128","Laviska Shenault Jr.","JAC","WR","8.4","1","8.4"
"128","Durham Smythe","MIA","TE","8.4","1","8.4"
"128","DJ Moore","CAR","WR","8.4","1","8.4"
"132","Javonte Williams","DEN","RB","8.3","1","8.3"
"133","Davis Mills","HOU","QB","8.2","1","8.2"
"134","Eric Ebron","PIT","TE","8.1","1","8.1"
"134","Mack Hollins","MIA","WR","8.1","1","8.1"
"134","Elijhaa Penny","NYG","RB","8.1","1","8.1"
"137","Jason Sanders","MIA","K","8.0","1","8.0"
"137","Matt Gay","LAR","K","8.0","1","8.0"
"137","Amari Cooper","DAL","WR","8.0","1","8.0"
"137","Michael Badgley","Multi","K","8.0","1","8.0"
"137","Washington Commanders","WAS","DST","8.0","1","8.0"
"137","Kansas City Chiefs","KC","DST","8.0","1","8.0"
"137","Pittsburgh Steelers","PIT","DST","8.0","1","8.0"
"144","Quez Watkins","PHI","WR","7.9","1","7.9"
"145","Will Dissly","SEA","TE","7.8","1","7.8"
"145","Tony Pollard","DAL","RB","7.8","1","7.8"
"145","Le'Veon Bell","Multi","RB","7.8","1","7.8"
"148","Bryan Edwards","LV","WR","7.7","1","7.7"
"149","Miles Sanders","PHI","RB","7.6","1","7.6"
"149","James Conner","ARI","RB","7.6","1","7.6"
"151","DeeJay Dallas","SEA","RB","7.5","1","7.5"
"151","Keenan Allen","LAC","WR","7.5","1","7.5"
"151","Austin Ekeler","LAC","RB","7.5","1","7.5"
"154","Julio Jones","TEN","WR","7.4","1","7.4"
"155","Allen Robinson II","CHI","WR","7.3","1","7.3"
"155","Dante Pettis","NYG","WR","7.3","1","7.3"
"157","Auden Tate","CIN","WR","7.2","1","7.2"
"158","Amon-Ra St. Brown","DET","WR","7.1","1","7.1"
"158","Daniel Jones","NYG","QB","7.1","1","7.1"
"160","Cincinnati Bengals","CIN","DST","7.0","1","7.0"
"160","Green Bay Packers","GB","DST","7.0","1","7.0"
"160","Byron Pringle","KC","WR","7.0","1","7.0"
"163","Cole Kmet","CHI","TE","6.9","1","6.9"
"164","Devin Singletary","BUF","RB","6.8","1","6.8"
"164","Chris Godwin","TB","WR","6.8","1","6.8"
"164","Mecole Hardman","KC","WR","6.8","1","6.8"
"167","Kalif Raymond","DET","WR","6.7","1","6.7"
"167","Chris Herndon IV","MIN","TE","6.7","1","6.7"
"169","Tommy Sweeney","BUF","TE","6.6","1","6.6"
"169","Blake Jarwin","DAL","TE","6.6","1","6.6"
"171","Chase Edmonds","ARI","RB","6.5","1","6.5"
"172","Phillip Lindsay","Multi","RB","6.4","1","6.4"
"172","Nico Collins","HOU","WR","6.4","1","6.4"
"174","Cedrick Wilson Jr.","DAL","WR","6.2","1","6.2"
"174","Kendall Hinton","DEN","WR","6.2","1","6.2"
"176","Tyler Higbee","LAR","TE","6.1","1","6.1"
"176","Jordan Akins","HOU","TE","6.1","1","6.1"
"178","Dawson Knox","BUF","TE","6.0","1","6.0"
"178","Brandon McManus","DEN","K","6.0","1","6.0"
"178","Mason Crosby","GB","K","6.0","1","6.0"
"178","Los Angeles Chargers","LAC","DST","6.0","1","6.0"
"182","AJ Dillon","GB","RB","5.9","1","5.9"
"182","Travis Homer","SEA","RB","5.9","1","5.9"
"182","Tee Higgins","CIN","WR","5.9","1","5.9"
"185","Noah Brown","DAL","WR","5.7","1","5.7"
"186","Marquise Brown","BAL","WR","5.5","1","5.5"
"187","Kadarius Toney","NYG","WR","5.1","1","5.1"
"187","Hunter Renfrow","LV","WR","5.1","1","5.1"
"189","Gerald Everett","SEA","TE","5.0","1","5.0"
"190","Rashod Bateman","BAL","WR","4.9","1","4.9"
"190","Zack Moss","BUF","RB","4.9","1","4.9"
"192","Terry McLaurin","WAS","WR","4.8","1","4.8"
"192","Michael Pittman Jr.","IND","WR","4.8","1","4.8"
"194","Brandon Zylstra","CAR","WR","4.7","1","4.7"
"195","Ian Thomas","CAR","TE","4.6","1","4.6"
"196","Tyler Lockett","SEA","WR","4.5","1","4.5"
"196","Dyami Brown","WAS","WR","4.5","1","4.5"
"198","Salvon Ahmed","MIA","RB","4.2","1","4.2"
"198","Sony Michel","LAR","RB","4.2","1","4.2"
"198","Nick Westbrook-Ikhine","TEN","WR","4.2","1","4.2"
"201","Rondale Moore","ARI","WR","4.1","1","4.1"
"201","DeVonta Smith","PHI","WR","4.1","1","4.1"
"201","Cameron Brate","TB","TE","4.1","1","4.1"
"204","Miami Dolphins","MIA","DST","4.0","1","4.0"
"204","Tampa Bay Buccaneers","TB","DST","4.0","1","4.0"
"204","Tennessee Titans","TEN","DST","4.0","1","4.0"
"204","Ryan Succop","TB","K","4.0","1","4.0"
"204","Brandon Allen","CIN","QB","4.0","1","4.0"
"209","Evan Engram","NYG","TE","3.9","1","3.9"
"210","Eric Saubert","DEN","TE","3.8","1","3.8"
"211","Mike Evans","TB","WR","3.7","1","3.7"
"211","Mike Williams","LAC","WR","3.7","1","3.7"
"211","Dan Arnold","Multi","TE","3.7","1","3.7"
"214","Devin Duvernay","BAL","WR","3.6","1","3.6"
"214","Malcolm Brown","MIA","RB","3.6","1","3.6"
"216","Gabriel Davis","BUF","WR","3.5","1","3.5"
"217","Ronald Jones II","TB","RB","3.4","1","3.4"
"217","Van Jefferson","LAR","WR","3.4","1","3.4"
"217","Antonio Gibson","WAS","RB","3.4","1","3.4"
"217","Chris Moore","HOU","WR","3.4","1","3.4"
"221","Nelson Agholor","NE","WR","3.3","1","3.3"
"221","Kyle Rudolph","NYG","TE","3.3","1","3.3"
"223","Jody Fortson","KC","WR","3.2","1","3.2"
"224","Collin Johnson","NYG","WR","3.1","1","3.1"
"225","Seattle Seahawks","SEA","DST","3.0","1","3.0"
"225","Ka'imi Fairbairn","HOU","K","3.0","1","3.0"
"225","Shi Smith","CAR","WR","3.0","1","3.0"
"225","Detroit Lions","DET","DST","3.0","1","3.0"
"225","New England Patriots","NE","DST","3.0","1","3.0"
"225","C.J. Ham","MIN","RB","3.0","1","3.0"
"225","Jacksonville Jaguars","JAC","DST","3.0","1","3.0"
"225","Austin Seibert","DET","K","3.0","1","3.0"
"225","Chicago Bears","CHI","DST","3.0","1","3.0"
"225","Nick Folk","NE","K","3.0","1","3.0"
"225","Graham Gano","NYG","K","3.0","1","3.0"
"236","Ray-Ray McCloud","PIT","WR","2.8","1","2.8"
"237","Chase Claypool","PIT","WR","2.7","1","2.7"
"237","Nyheim Hines","IND","RB","2.7","1","2.7"
"237","Marcedes Lewis","GB","TE","2.7","1","2.7"
"240","Luke Farrell","JAC","TE","2.6","1","2.6"
"241","Myles Gaskin","MIA","RB","2.4","1","2.4"
"241","Demetric Felton Jr.","CLE","RB","2.4","1","2.4"
"241","Albert Wilson","MIA","WR","2.4","1","2.4"
"244","Dede Westbrook","MIN","WR","2.3","1","2.3"
"245","Alex Erickson","CAR","WR","2.2","1","2.2"
"246","Tommy Tremble","CAR","TE","2.0","1","2.0"
"246","Donald Parham Jr.","LAC","TE","2.0","1","2.0"
"246","Jake Elliott","PHI","K","2.0","1","2.0"
"246","Tom Kennedy","DET","WR","2.0","1","2.0"
"246","Robert Tonyan","GB","TE","2.0","1","2.0"
"246","Cairo Santos","CHI","K","2.0","1","2.0"
"246","Jalen Guyton","LAC","WR","2.0","1","2.0"
"246","New York Giants","NYG","DST","2.0","1","2.0"
"246","Chase McLaughlin","CLE","K","2.0","1","2.0"
"246","Jerick McKinnon","KC","RB","2.0","1","2.0"
"256","KhaDarel Hodge","DET","WR","1.9","1","1.9"
"256","Amari Rodgers","GB","WR","1.9","1","1.9"
"258","Anthony Schwartz","CLE","WR","1.8","1","1.8"
"258","Pharaoh Brown","HOU","TE","1.8","1","1.8"
"260","Penny Hart","SEA","WR","1.7","1","1.7"
"260","Marquise Goodwin","CHI","WR","1.7","1","1.7"
"262","Foster Moreau","LV","TE","1.6","1","1.6"
"262","Anthony Firkser","TEN","TE","1.6","1","1.6"
"262","Chris Manhertz","JAC","TE","1.6","1","1.6"
"265","Kalen Ballage","PIT","RB","1.5","1","1.5"
"265","Chris Conley","HOU","WR","1.5","1","1.5"
"267","Jonnu Smith","NE","TE","1.4","1","1.4"
"267","Jonathan Ward","ARI","RB","1.4","1","1.4"
"267","Terrace Marshall Jr.","CAR","WR","1.4","1","1.4"
"267","James Washington","PIT","WR","1.4","1","1.4"
"267","D'Ernest Johnson","CLE","RB","1.4","1","1.4"
"267","Giovani Bernard","TB","RB","1.4","1","1.4"
"267","Jamaal Williams","DET","RB","1.4","1","1.4"
"274","Joshua Palmer","LAC","WR","1.3","1","1.3"
"274","Geoff Swaim","TEN","TE","1.3","1","1.3"
"274","Trayveon Williams","CIN","RB","1.3","1","1.3"
"274","Cethan Carter","MIA","TE","1.3","1","1.3"
"274","Isaiah McKenzie","BUF","WR","1.3","1","1.3"
"279","Ashton Dulin","IND","WR","1.2","1","1.2"
"279","Tyler Boyd","CIN","WR","1.2","1","1.2"
"279","Justin Jackson","LAC","RB","1.2","1","1.2"
"279","John Bates","WAS","TE","1.2","1","1.2"
"279","Chester Rogers","TEN","WR","1.2","1","1.2"
"279","Marlon Mack","IND","RB","1.2","1","1.2"
"285","Miles Boykin","BAL","WR","1.1","1","1.1"
"285","David Njoku","CLE","TE","1.1","1","1.1"
"285","Gabe Nabers","LAC","RB","1.1","1","1.1"
"285","DeSean Jackson","Multi","WR","1.1","1","1.1"
"285","Johnny Stanton IV","CLE","RB","1.1","1","1.1"
"290","Houston Texans","HOU","DST","1.0","1","1.0"
"290","Alexander Mattison","MIN","RB","1.0","1","1.0"
"290","Tyler Huntley","BAL","QB","1.0","1","1.0"
"290","Jacoby Brissett","MIA","QB","1.0","1","1.0"
"290","Denver Broncos","DEN","DST","1.0","1","1.0"
"290","Buffalo Bills","BUF","DST","1.0","1","1.0"
"290","Philadelphia Eagles","PHI","DST","1.0","1","1.0"
"297","Austin Hooper","CLE","TE","0.9","1","0.9"
"297","Josiah Deguara","GB","TE","0.9","1","0.9"
