"Rank","Player","Team","Position","Points","Games","Avg"
"1","Patrick Mahomes II","KC","QB","36.2","1","36.2"
"2","Deebo Samuel","SF","WR","27.8","1","27.8"
"3","Dak Prescott","DAL","QB","26.3","1","26.3"
"4","Stefon Diggs","BUF","WR","26.2","1","26.2"
"5","AJ Dillon","GB","RB","25.8","1","25.8"
"6","CeeDee Lamb","DAL","WR","25.6","1","25.6"
"7","Rhamondre Stevenson","NE","RB","25.4","1","25.4"
"8","Darrel Williams","KC","RB","24.9","1","24.9"
"9","Tyreek Hill","KC","WR","24.0","1","24.0"
"10","Dallas Cowboys","DAL","DST","23.0","1","23.0"
"11","Kendrick Bourne","NE","WR","22.1","1","22.1"
"12","Josh Allen","BUF","QB","21.9","1","21.9"
"13","Jonathan Taylor","IND","RB","21.6","1","21.6"
"14","Christian McCaffrey","CAR","RB","21.1","1","21.1"
"15","Antonio Gibson","WAS","RB","20.8","1","20.8"
"16","DeVonta Smith","PHI","WR","20.6","1","20.6"
"17","Mac Jones","NE","QB","19.9","1","19.9"
"17","Trevor Siemian","NO","QB","19.9","1","19.9"
"19","Jalen Hurts","PHI","QB","19.6","1","19.6"
"20","Dalvin Cook","MIN","RB","19.3","1","19.3"
"20","Ezekiel Elliott","DAL","RB","19.3","1","19.3"
"22","Derek Carr","LV","QB","19.2","1","19.2"
"22","D'Ernest Johnson","CLE","RB","19.2","1","19.2"
"24","Mark Ingram II","Multi","RB","18.8","1","18.8"
"25","Ryan Tannehill","TEN","QB","18.6","1","18.6"
"26","Justin Jefferson","MIN","WR","18.4","1","18.4"
"27","Miami Dolphins","MIA","DST","18.0","1","18.0"
"28","Hunter Henry","NE","TE","17.7","1","17.7"
"28","Cooper Kupp","LAR","WR","17.7","1","17.7"
"30","Kirk Cousins","MIN","QB","17.5","1","17.5"
"31","Zane Gonzalez","CAR","K","17.0","1","17.0"
"31","Green Bay Packers","GB","DST","17.0","1","17.0"
"33","Matt Breida","BUF","RB","16.5","1","16.5"
"34","Lamar Jackson","BAL","QB","16.4","1","16.4"
"34","James Robinson","JAC","RB","16.4","1","16.4"
"36","Bryan Edwards","LV","WR","16.3","1","16.3"
"36","Mason Rudolph","PIT","QB","16.3","1","16.3"
"38","Michael Carter","NYJ","RB","16.2","1","16.2"
"39","San Francisco 49ers","SF","DST","16.0","1","16.0"
"40","Travis Kelce","KC","TE","15.9","1","15.9"
"41","Taylor Heinicke","WAS","QB","15.7","1","15.7"
"42","Jimmy Garoppolo","SF","QB","15.4","1","15.4"
"43","Mark Andrews","BAL","TE","15.3","1","15.3"
"43","Najee Harris","PIT","RB","15.3","1","15.3"
"45","Philadelphia Eagles","PHI","DST","15.0","1","15.0"
"45","Tom Brady","TB","QB","15.0","1","15.0"
"45","D'Andre Swift","DET","RB","15.0","1","15.0"
"48","Tyler Conklin","MIN","TE","14.6","1","14.6"
"49","Hunter Renfrow","LV","WR","14.1","1","14.1"
"50","Jake Elliott","PHI","K","14.0","1","14.0"
"50","Indianapolis Colts","IND","DST","14.0","1","14.0"
"52","James Conner","ARI","RB","13.9","1","13.9"
"52","Jamal Agnew","JAC","WR","13.9","1","13.9"
"54","Keenan Allen","LAC","WR","13.8","1","13.8"
"55","George Kittle","SF","TE","13.5","1","13.5"
"55","DeAndre Carter","WAS","WR","13.5","1","13.5"
"57","Austin Ekeler","LAC","RB","13.4","1","13.4"
"58","Mike Evans","TB","WR","13.2","1","13.2"
"58","Leonard Fournette","TB","RB","13.2","1","13.2"
"60","Justin Herbert","LAC","QB","13.0","1","13.0"
"61","Jakobi Meyers","NE","WR","12.9","1","12.9"
"62","Tony Pollard","DAL","RB","12.8","1","12.8"
"63","Albert Wilson","MIA","WR","12.6","1","12.6"
"63","Byron Pringle","KC","WR","12.6","1","12.6"
"65","Marcus Johnson","TEN","WR","12.5","1","12.5"
"66","Tre'Quan Smith","NO","WR","12.4","1","12.4"
"67","Tua Tagovailoa","MIA","QB","12.3","1","12.3"
"68","Harrison Butker","KC","K","12.0","1","12.0"
"68","Chris Boswell","PIT","K","12.0","1","12.0"
"68","Buffalo Bills","BUF","DST","12.0","1","12.0"
"68","Joey Slye","Multi","K","12.0","1","12.0"
"68","Gabriel Davis","BUF","WR","12.0","1","12.0"
"68","Carolina Panthers","CAR","DST","12.0","1","12.0"
"74","Elijah Moore","NYJ","WR","11.9","1","11.9"
"75","Matthew Stafford","LAR","QB","11.8","1","11.8"
"76","Cam Newton","CAR","QB","11.7","1","11.7"
"76","Robbie Anderson","CAR","WR","11.7","1","11.7"
"78","Godwin Igwebuike","DET","RB","11.6","1","11.6"
"79","Aaron Rodgers","GB","QB","11.5","1","11.5"
"79","Boston Scott","PHI","RB","11.5","1","11.5"
"81","Devin Singletary","BUF","RB","11.4","1","11.4"
"82","Davante Adams","GB","WR","11.3","1","11.3"
"83","Dan Arnold","Multi","TE","11.2","1","11.2"
"84","Rashod Bateman","BAL","WR","11.0","1","11.0"
"84","New England Patriots","NE","DST","11.0","1","11.0"
"84","Michael Badgley","Multi","K","11.0","1","11.0"
"84","Randy Bullock","TEN","K","11.0","1","11.0"
"88","Ray-Ray McCloud","PIT","WR","10.8","1","10.8"
"89","Marquez Callaway","NO","WR","10.7","1","10.7"
