"Rank","Player","Team","Position","Points","Games","Avg"
"1","Kyler Murray","ARI","QB","34.6","1","34.6"
"2","Patrick Mahomes II","KC","QB","33.3","1","33.3"
"3","Amari Cooper","DAL","WR","32.4","1","32.4"
"4","Tyreek Hill","KC","WR","31.6","1","31.6"
"5","Jared Goff","DET","QB","29.9","1","29.9"
"6","Jameis Winston","NO","QB","29.6","1","29.6"
"7","Tom Brady","TB","QB","29.2","1","29.2"
"8","Jalen Hurts","PHI","QB","28.8","1","28.8"
"9","Dak Prescott","DAL","QB","28.4","1","28.4"
"10","Deebo Samuel","SF","WR","27.4","1","27.4"
"11","Russell Wilson","SEA","QB","27.1","1","27.1"
"12","Adam Thielen","MIN","WR","25.7","1","25.7"
"13","Derek Carr","LV","QB","25.0","1","25.0"
"13","Rob Gronkowski","TB","TE","25.0","1","25.0"
"15","Matthew Stafford","LAR","QB","24.3","1","24.3"
"16","Corey Davis","NYJ","WR","24.2","1","24.2"
"17","Tyler Lockett","SEA","WR","24.0","1","24.0"
"18","Tyrod Taylor","HOU","QB","23.6","1","23.6"
"19","DeAndre Hopkins","ARI","WR","23.3","1","23.3"
"20","Christian McCaffrey","CAR","RB","23.2","1","23.2"
"21","Joe Mixon","CIN","RB","23.0","1","23.0"
"22","Travis Kelce","KC","TE","22.6","1","22.6"
"23","Trevor Lawrence","JAC","QB","22.1","1","22.1"
"24","Kirk Cousins","MIN","QB","22.0","1","22.0"
"25","T.J. Hockenson","DET","TE","21.7","1","21.7"
"26","Darren Waller","LV","TE","21.5","1","21.5"
"26","Christian Kirk","ARI","WR","21.5","1","21.5"
"28","Daniel Jones","NYG","QB","21.4","1","21.4"
"29","Antonio Brown","TB","WR","21.2","1","21.2"
"30","Nick Chubb","CLE","RB","21.1","1","21.1"
"31","Jamaal Williams","DET","RB","21.0","1","21.0"
"32","Sterling Shepard","NYG","WR","20.8","1","20.8"
"33","Teddy Bridgewater","DEN","QB","20.5","1","20.5"
"34","D'Andre Swift","DET","RB","20.4","1","20.4"
"35","Cooper Kupp","LAR","WR","20.3","1","20.3"
"36","CeeDee Lamb","DAL","WR","19.9","1","19.9"
"37","Melvin Gordon III","DEN","RB","19.3","1","19.3"
"37","Zach Wilson","NYJ","QB","19.3","1","19.3"
"39","Sam Darnold","CAR","QB","19.1","1","19.1"
"40","Chris Godwin","TB","WR","19.0","1","19.0"
"41","Joe Burrow","CIN","QB","18.6","1","18.6"
"42","Ja'Marr Chase","CIN","WR","18.4","1","18.4"
"43","David Montgomery","CHI","RB","18.3","1","18.3"
"43","Zach Pascal","IND","WR","18.3","1","18.3"
