"Rank","Player","Team","Position","Points","Games","Avg"
"1","Ja'Marr Chase","CIN","WR","50.1","1","50.1"
"2","Joe Burrow","CIN","QB","34.8","1","34.8"
"3","Rashaad Penny","SEA","RB","31.5","1","31.5"
"4","Amon-Ra St. Brown","DET","WR","31.4","1","31.4"
"5","Najee Harris","PIT","RB","28.1","1","28.1"
"6","DK Metcalf","SEA","WR","27.9","1","27.9"
"7","Russell Wilson","SEA","QB","27.8","1","27.8"
"8","Tom Brady","TB","QB","27.4","1","27.4"
"9","Davante Adams","GB","WR","25.1","1","25.1"
"10","Darrel Williams","KC","RB","24.2","1","24.2"
"11","Josh Allen","BUF","QB","23.9","1","23.9"
"12","Devin Singletary","BUF","RB","23.0","1","23.0"
"12","Dak Prescott","DAL","QB","23.0","1","23.0"
"14","Kyler Murray","ARI","QB","22.9","1","22.9"
"15","Rhamondre Stevenson","NE","RB","22.7","1","22.7"
"16","Boston Scott","PHI","RB","22.6","1","22.6"
"17","Mac Jones","NE","QB","22.3","1","22.3"
"18","Braxton Berrios","NYJ","WR","21.7","1","21.7"
"19","AJ Dillon","GB","RB","21.3","1","21.3"
"20","Chicago Bears","CHI","DST","21.0","1","21.0"
"21","Patrick Mahomes II","KC","QB","20.9","1","20.9"
"22","Aaron Rodgers","GB","QB","20.3","1","20.3"
"23","David Montgomery","CHI","RB","20.1","1","20.1"
"23","Trey Lance","SF","QB","20.1","1","20.1"
"25","Elijah Mitchell","SF","RB","20.0","1","20.0"
"26","D'Onta Foreman","TEN","RB","19.2","1","19.2"
"27","Tim Boyle","DET","QB","18.9","1","18.9"
"28","Austin Ekeler","LAC","RB","18.7","1","18.7"
"29","Alvin Kamara","NO","RB","18.5","1","18.5"
"29","Cooper Kupp","LAR","WR","18.5","1","18.5"
"31","Jaret Patterson","WAS","RB","18.3","1","18.3"
"32","Noah Fant","DEN","TE","18.2","1","18.2"
"32","Kristian Wilkerson","NE","WR","18.2","1","18.2"
"34","Jason Myers","SEA","K","18.0","1","18.0"
"35","Jonathan Taylor","IND","RB","17.9","1","17.9"
"36","Justin Herbert","LAC","QB","17.7","1","17.7"
"37","Sony Michel","LAR","RB","17.4","1","17.4"
"37","Taysom Hill","NO","QB","17.4","1","17.4"
"39","Jakobi Meyers","NE","WR","17.3","1","17.3"
"40","Damien Harris","NE","RB","17.2","1","17.2"
"41","Cyril Grayson Jr.","TB","WR","17.1","1","17.1"
"41","Hunter Renfrow","LV","WR","17.1","1","17.1"
"43","Antoine Wesley","ARI","WR","17.0","1","17.0"
