"Rank","Player","Team","Position","Points","Games","Avg"
"1","Tyreek Hill","KC","WR","42.1","1","42.1"
"2","Sam Darnold","CAR","QB","33.5","1","33.5"
"3","Patrick Mahomes II","KC","QB","32.3","1","32.3"
"4","Cordarrelle Patterson","ATL","RB","32.1","1","32.1"
"5","Deebo Samuel","SF","WR","31.7","1","31.7"
"6","Matt Ryan","ATL","QB","29.0","1","29.0"
"7","Jalen Hurts","PHI","QB","28.2","1","28.2"
"8","Austin Ekeler","LAC","RB","28.0","1","28.0"
"9","Taylor Heinicke","WAS","QB","27.9","1","27.9"
"9","DJ Moore","CAR","WR","27.9","1","27.9"
"11","Daniel Jones","NYG","QB","27.8","1","27.8"
"12","Terry McLaurin","WAS","WR","27.3","1","27.3"
"13","Saquon Barkley","NYG","RB","27.1","1","27.1"
"14","Dak Prescott","DAL","QB","27.0","1","27.0"
"15","Derrick Henry","TEN","RB","24.7","1","24.7"
"16","Aaron Rodgers","GB","QB","24.1","1","24.1"
"17","C.J. Uzomah","CIN","TE","24.0","1","24.0"
"18","Buffalo Bills","BUF","DST","23.0","1","23.0"
"19","Kyler Murray","ARI","QB","22.6","1","22.6"
"19","Russell Wilson","SEA","QB","22.6","1","22.6"
"19","David Montgomery","CHI","RB","22.6","1","22.6"
"22","Joe Burrow","CIN","QB","22.3","1","22.3"
"23","Randall Cobb","GB","WR","21.4","1","21.4"
"24","Justin Herbert","LAC","QB","21.3","1","21.3"
"25","Josh Allen","BUF","QB","21.0","1","21.0"
"26","Trey Lance","SF","QB","20.4","1","20.4"
"27","Ezekiel Elliott","DAL","RB","20.3","1","20.3"
"27","Matthew Stafford","LAR","QB","20.3","1","20.3"
"29","James Robinson","JAC","RB","20.1","1","20.1"
"30","Diontae Johnson","PIT","WR","19.7","1","19.7"
"31","James Conner","ARI","RB","19.6","1","19.6"
"32","Lamar Jackson","BAL","QB","19.4","1","19.4"
"33","Corey Davis","NYJ","WR","19.1","1","19.1"
"34","Jonathan Taylor","IND","RB","18.9","1","18.9"
"35","Ryan Tannehill","TEN","QB","18.8","1","18.8"
"36","Zach Wilson","NYJ","QB","18.7","1","18.7"
"37","Dawson Knox","BUF","TE","18.2","1","18.2"
