"Rank","Player","Team","Position","Points","Games","Avg"
"1","Joe Burrow","CIN","QB","38.1","1","38.1"
"2","Tee Higgins","CIN","WR","37.4","1","37.4"
"3","Dak Prescott","DAL","QB","31.3","1","31.3"
"4","Josh Allen","BUF","QB","31.0","1","31.0"
"5","Justin Jackson","LAC","RB","30.2","1","30.2"
"6","Joe Mixon","CIN","RB","28.5","1","28.5"
"7","Davante Adams","GB","WR","28.4","1","28.4"
"8","Damien Harris","NE","RB","28.3","1","28.3"
"9","Rex Burkhead","HOU","RB","27.9","1","27.9"
"10","A.J. Brown","TEN","WR","26.0","1","26.0"
"11","Nick Chubb","CLE","RB","25.9","1","25.9"
"12","Miami Dolphins","MIA","DST","25.0","1","25.0"
"13","Dallas Cowboys","DAL","DST","24.0","1","24.0"
"14","Isaiah McKenzie","BUF","WR","23.9","1","23.9"
"15","Deebo Samuel","SF","WR","23.6","1","23.6"
"16","Zach Wilson","NYJ","QB","23.2","1","23.2"
"17","Chase Edmonds","ARI","RB","22.7","1","22.7"
"18","Mark Andrews","BAL","TE","22.5","1","22.5"
"18","Byron Pringle","KC","WR","22.5","1","22.5"
"20","Patrick Mahomes II","KC","QB","22.3","1","22.3"
"21","Kyler Murray","ARI","QB","21.9","1","21.9"
"22","Amon-Ra St. Brown","DET","WR","21.5","1","21.5"
"23","Jaylen Waddle","MIA","WR","20.2","1","20.2"
"23","Josh Johnson","Multi","QB","20.2","1","20.2"
"25","David Montgomery","CHI","RB","20.1","1","20.1"
"26","Aaron Rodgers","GB","QB","20.0","1","20.0"
"26","Sony Michel","LAR","RB","20.0","1","20.0"
"28","Rashaad Penny","SEA","RB","19.5","1","19.5"
"29","Justin Herbert","LAC","QB","18.9","1","18.9"
"30","Dalton Schultz","DAL","TE","18.2","1","18.2"
"31","Davis Mills","HOU","QB","18.1","1","18.1"
"32","Amari Cooper","DAL","WR","18.0","1","18.0"
"32","Stefon Diggs","BUF","WR","18.0","1","18.0"
"34","Carson Wentz","IND","QB","17.4","1","17.4"
"35","Kirk Cousins","MIN","QB","17.3","1","17.3"
"36","Nick Foles","CHI","QB","16.8","1","16.8"
"37","Ezekiel Elliott","DAL","RB","16.7","1","16.7"
"37","Jalen Hurts","PHI","QB","16.7","1","16.7"
"39","Russell Wilson","SEA","QB","16.5","1","16.5"
"39","DeVonta Smith","PHI","WR","16.5","1","16.5"
"41","Devin Singletary","BUF","RB","16.3","1","16.3"
"41","Cooper Kupp","LAR","WR","16.3","1","16.3"
"43","Ryan Succop","TB","K","16.0","1","16.0"
"43","Ja'Marr Chase","CIN","WR","16.0","1","16.0"
"43","Tyler Boyd","CIN","WR","16.0","1","16.0"
"43","Tampa Bay Buccaneers","TB","DST","16.0","1","16.0"
"43","Philadelphia Eagles","PHI","DST","16.0","1","16.0"
"48","Malik Turner","DAL","WR","15.7","1","15.7"
"49","Justin Jefferson","MIN","WR","15.6","1","15.6"
"50","K.J. Osborn","MIN","WR","15.3","1","15.3"
"51","Jimmy Garoppolo","SF","QB","15.2","1","15.2"
"52","Antonio Brown","TB","WR","15.1","1","15.1"
"52","Ronald Jones II","TB","RB","15.1","1","15.1"
