"Rank","Player","Team","Position","Points","Games","Avg"
"1","George Kittle","SF","TE","35.1","1","35.1"
"2","Kyler Murray","ARI","QB","30.8","1","30.8"
"3","Justin Jefferson","MIN","WR","30.1","1","30.1"
"4","Tom Brady","TB","QB","29.6","1","29.6"
"5","Javonte Williams","DEN","RB","26.8","1","26.8"
"6","Diontae Johnson","PIT","WR","26.5","1","26.5"
"7","Justin Herbert","LAC","QB","26.3","1","26.3"
"8","Dallas Goedert","PHI","TE","25.5","1","25.5"
"9","Taysom Hill","NO","QB","24.7","1","24.7"
"10","Tee Higgins","CIN","WR","24.3","1","24.3"
"10","Jonathan Taylor","IND","RB","24.3","1","24.3"
"12","David Montgomery","CHI","RB","24.1","1","24.1"
"13","Matthew Stafford","LAR","QB","24.0","1","24.0"
"14","Cooper Kupp","LAR","WR","22.9","1","22.9"
"15","Chris Godwin","TB","WR","22.7","1","22.7"
"16","Zach Wilson","NYJ","QB","22.0","1","22.0"
"17","Jared Goff","DET","QB","20.9","1","20.9"
"18","Sony Michel","LAR","RB","20.4","1","20.4"
"19","Kirk Cousins","MIN","QB","20.2","1","20.2"
"20","Los Angeles Chargers","LAC","DST","20.0","1","20.0"
"21","Alexander Mattison","MIN","RB","19.9","1","19.9"
"21","Keenan Allen","LAC","WR","19.9","1","19.9"
"23","Amon-Ra St. Brown","DET","WR","19.8","1","19.8"
"23","Rob Gronkowski","TB","TE","19.8","1","19.8"
"25","Antonio Gibson","WAS","RB","19.6","1","19.6"
"26","Josh Jacobs","LV","RB","19.5","1","19.5"
"27","Ben Roethlisberger","PIT","QB","19.3","1","19.3"
"28","Gardner Minshew II","PHI","QB","18.8","1","18.8"
"29","Leonard Fournette","TB","RB","18.7","1","18.7"
"30","Joe Burrow","CIN","QB","18.6","1","18.6"
"30","Lamar Jackson","BAL","QB","18.6","1","18.6"
"32","Devonta Freeman","BAL","RB","18.2","1","18.2"
"33","James Conner","ARI","RB","18.1","1","18.1"
"34","Jimmy Garoppolo","SF","QB","18.0","1","18.0"
"34","Indianapolis Colts","IND","DST","18.0","1","18.0"
"36","Tua Tagovailoa","MIA","QB","17.9","1","17.9"
"36","Deonte Harty","NO","WR","17.9","1","17.9"
"38","Russell Wilson","SEA","QB","17.7","1","17.7"
"39","Elijah Moore","NYJ","WR","17.6","1","17.6"
"40","Kenneth Gainwell","PHI","RB","17.2","1","17.2"
"41","Damien Harris","NE","RB","17.1","1","17.1"
"42","Dallas Cowboys","DAL","DST","17.0","1","17.0"
"42","Jake Elliott","PHI","K","17.0","1","17.0"
"42","Travis Homer","SEA","RB","17.0","1","17.0"
"42","Kansas City Chiefs","KC","DST","17.0","1","17.0"
"46","Jalen Guyton","LAC","WR","16.9","1","16.9"
"47","Russell Gage","ATL","WR","16.5","1","16.5"
"48","Tyler Lockett","SEA","WR","16.3","1","16.3"
"49","Elijah Mitchell","SF","RB","15.9","1","15.9"
"50","Taylor Heinicke","WAS","QB","15.8","1","15.8"
"50","Andy Dalton","CHI","QB","15.8","1","15.8"
"52","CeeDee Lamb","DAL","WR","15.7","1","15.7"
"52","Miles Sanders","PHI","RB","15.7","1","15.7"
"54","Matt Gay","LAR","K","15.0","1","15.0"
"55","Austin Ekeler","LAC","RB","14.9","1","14.9"
"55","Mike Davis","ATL","RB","14.9","1","14.9"
"57","Hunter Renfrow","LV","WR","14.7","1","14.7"
"57","Jakeem Grant Sr.","Multi","WR","14.7","1","14.7"
"59","Tony Pollard","DAL","RB","14.4","1","14.4"
"60","Teddy Bridgewater","DEN","QB","14.0","1","14.0"
"60","Michael Pittman Jr.","IND","WR","14.0","1","14.0"
"62","Patrick Mahomes II","KC","QB","13.6","1","13.6"
"63","Mike Williams","LAC","WR","13.5","1","13.5"
