"Rank","Player","Team","Position","Points","Games","Avg"
"1","Leonard Fournette","TB","RB","40.6","1","40.6"
"2","Joe Mixon","CIN","RB","30.3","1","30.3"
"3","Josh Allen","BUF","QB","28.7","1","28.7"
"4","Cordarrelle Patterson","ATL","RB","26.5","1","26.5"
"5","Aaron Rodgers","GB","QB","26.3","1","26.3"
"6","Dak Prescott","DAL","QB","25.3","1","25.3"
"6","Elijah Mitchell","SF","RB","25.3","1","25.3"
"8","Jaylen Waddle","MIA","WR","24.2","1","24.2"
"9","Matthew Stafford","LAR","QB","23.0","1","23.0"
"9","Miami Dolphins","MIA","DST","23.0","1","23.0"
"11","Carson Wentz","IND","QB","22.3","1","22.3"
"12","Justin Herbert","LAC","QB","21.7","1","21.7"
"13","Mac Jones","NE","QB","21.5","1","21.5"
"14","Nick Folk","NE","K","21.0","1","21.0"
"14","Daniel Carlson","LV","K","21.0","1","21.0"
"14","Derek Carr","LV","QB","21.0","1","21.0"
"17","Adam Thielen","MIN","WR","20.7","1","20.7"
"18","Kendrick Bourne","NE","WR","20.6","1","20.6"
"19","Tee Higgins","CIN","WR","20.4","1","20.4"
"20","Deebo Samuel","SF","WR","20.3","1","20.3"
"21","Antonio Gibson","WAS","RB","20.1","1","20.1"
"21","J.D. McKissic","WAS","RB","20.1","1","20.1"
"23","Russell Wilson","SEA","QB","19.5","1","19.5"
"24","Cincinnati Bengals","CIN","DST","19.0","1","19.0"
"25","Austin Ekeler","LAC","RB","18.9","1","18.9"
"26","Javonte Williams","DEN","RB","18.6","1","18.6"
"27","Josh Jacobs","LV","RB","18.2","1","18.2"
"27","Myles Gaskin","MIA","RB","18.2","1","18.2"
"29","Trevor Lawrence","JAC","QB","18.0","1","18.0"
"30","Dontrell Hilliard","TEN","RB","17.8","1","17.8"
"31","DeSean Jackson","Multi","WR","17.7","1","17.7"
"31","Jonathan Taylor","IND","RB","17.7","1","17.7"
"33","Hunter Renfrow","LV","WR","17.6","1","17.6"
"34","AJ Dillon","GB","RB","17.5","1","17.5"
"35","Joe Burrow","CIN","QB","17.4","1","17.4"
"36","Jack Doyle","IND","TE","17.1","1","17.1"
"37","Denver Broncos","DEN","DST","17.0","1","17.0"
"38","Stefon Diggs","BUF","WR","16.9","1","16.9"
"39","Van Jefferson","LAR","WR","16.8","1","16.8"
"39","Andy Dalton","CHI","QB","16.8","1","16.8"
"41","Dawson Knox","BUF","TE","16.7","1","16.7"
"42","Odell Beckham Jr.","Multi","WR","16.6","1","16.6"
"43","Kirk Cousins","MIN","QB","16.5","1","16.5"
"44","Tyrod Taylor","HOU","QB","16.3","1","16.3"
"45","Teddy Bridgewater","DEN","QB","16.2","1","16.2"
"46","Rob Gronkowski","TB","TE","15.8","1","15.8"
"47","Randall Cobb","GB","WR","15.5","1","15.5"
"48","Darrell Henderson Jr.","LAR","RB","15.3","1","15.3"
"49","Russell Gage","ATL","WR","15.2","1","15.2"
"50","Daniel Jones","NYG","QB","15.1","1","15.1"
"50","Cooper Kupp","LAR","WR","15.1","1","15.1"
"52","Darnell Mooney","CHI","WR","15.0","1","15.0"
"53","Tony Pollard","DAL","RB","14.8","1","14.8"
"54","Mark Andrews","BAL","TE","14.5","1","14.5"
"54","Josh Reynolds","Multi","WR","14.5","1","14.5"
