"Rank","Player","Team","Position","Points","Games","Avg"
"1","Josh Allen","BUF","QB","36.2","1","36.2"
"2","Dalvin Cook","MIN","RB","34.7","1","34.7"
"3","Tom Brady","TB","QB","30.1","1","30.1"
"4","Aaron Rodgers","GB","QB","29.6","1","29.6"
"5","Davante Adams","GB","WR","29.1","1","29.1"
"6","James Conner","ARI","RB","29.0","1","29.0"
"7","George Kittle","SF","TE","27.6","1","27.6"
"8","Taysom Hill","NO","QB","26.3","1","26.3"
"8","Rashaad Penny","SEA","RB","26.3","1","26.3"
"10","Ben Roethlisberger","PIT","QB","25.8","1","25.8"
"11","Justin Herbert","LAC","QB","24.9","1","24.9"
"12","Cooper Kupp","LAR","WR","24.8","1","24.8"
"13","Tyler Lockett","SEA","WR","24.7","1","24.7"
"14","Kansas City Chiefs","KC","DST","24.0","1","24.0"
"15","Najee Harris","PIT","RB","23.9","1","23.9"
"16","Matthew Stafford","LAR","QB","23.5","1","23.5"
"17","Melvin Gordon III","DEN","RB","23.1","1","23.1"
"18","Mark Andrews","BAL","TE","23.0","1","23.0"
"19","Ja'Marr Chase","CIN","WR","22.8","1","22.8"
"20","Alvin Kamara","NO","RB","22.5","1","22.5"
"21","Hunter Renfrow","LV","WR","22.2","1","22.2"
"21","Joe Burrow","CIN","QB","22.2","1","22.2"
"23","Dallas Cowboys","DAL","DST","22.0","1","22.0"
"24","Leonard Fournette","TB","RB","21.2","1","21.2"
"24","Russell Wilson","SEA","QB","21.2","1","21.2"
"26","Tennessee Titans","TEN","DST","21.0","1","21.0"
"27","Javonte Williams","DEN","RB","20.8","1","20.8"
"28","Justin Fields","CHI","QB","20.4","1","20.4"
"29","Patrick Mahomes II","KC","QB","20.3","1","20.3"
"30","Jimmy Garoppolo","SF","QB","20.1","1","20.1"
"31","Aaron Jones","GB","RB","20.0","1","20.0"
"32","Kyler Murray","ARI","QB","19.4","1","19.4"
"33","Mike Glennon","NYG","QB","19.3","1","19.3"
"34","Mike Evans","TB","WR","18.1","1","18.1"
"35","Davis Mills","HOU","QB","18.0","1","18.0"
"36","Robbie Anderson","CAR","WR","17.9","1","17.9"
"36","Allen Lazard","GB","WR","17.9","1","17.9"
"38","Clyde Edwards-Helaire","KC","RB","17.7","1","17.7"
"39","Jakeem Grant Sr.","Multi","WR","17.6","1","17.6"
"40","Saquon Barkley","NYG","RB","17.0","1","17.0"
"40","Justin Jefferson","MIN","WR","17.0","1","17.0"
"42","Odell Beckham Jr.","Multi","WR","16.7","1","16.7"
"43","Ryan Tannehill","TEN","QB","16.5","1","16.5"
"44","Jalen Guyton","LAC","WR","16.2","1","16.2"
"45","Baker Mayfield","CLE","QB","16.0","1","16.0"
"45","Matt Prater","ARI","K","16.0","1","16.0"
"45","Kirk Cousins","MIN","QB","16.0","1","16.0"
"48","Derrick Gore","KC","RB","15.9","1","15.9"
"49","K.J. Osborn","MIN","WR","15.8","1","15.8"
"50","Brandon Aiyuk","SF","WR","15.6","1","15.6"
"51","Dawson Knox","BUF","TE","15.5","1","15.5"
"51","Chris Godwin","TB","WR","15.5","1","15.5"
"53","Austin Ekeler","LAC","RB","15.4","1","15.4"
"54","Tyler Huntley","BAL","QB","15.3","1","15.3"
"55","Teddy Bridgewater","DEN","QB","15.2","1","15.2"
"56","Joshua Palmer","LAC","WR","15.1","1","15.1"
"57","Justin Tucker","BAL","K","15.0","1","15.0"
"58","Cam Newton","CAR","QB","14.8","1","14.8"
"59","Damiere Byrd","CHI","WR","14.6","1","14.6"
"60","James Washington","PIT","WR","14.5","1","14.5"
"61","Cam Sims","WAS","WR","14.4","1","14.4"
"62","Brandin Cooks","HOU","WR","14.1","1","14.1"
"63","Matt Gay","LAR","K","14.0","1","14.0"
"63","Washington Commanders","WAS","DST","14.0","1","14.0"
"63","Cleveland Browns","CLE","DST","14.0","1","14.0"
"63","Harrison Butker","KC","K","14.0","1","14.0"
"63","Cairo Santos","CHI","K","14.0","1","14.0"
"68","Tee Higgins","CIN","WR","13.9","1","13.9"
"69","Rashod Bateman","BAL","WR","13.8","1","13.8"
"69","Van Jefferson","LAR","WR","13.8","1","13.8"
"71","A.J. Green","ARI","WR","13.7","1","13.7"
"72","Amari Cooper","DAL","WR","13.6","1","13.6"
"73","Chase Claypool","PIT","WR","13.5","1","13.5"
"74","D'Onta Foreman","TEN","RB","13.2","1","13.2"
"75","Greg Zuerlein","DAL","K","13.0","1","13.0"
"75","Dustin Hopkins","Multi","K","13.0","1","13.0"
