Rank,Player,REC,TGT,RE_YDS,Y/R,LG,20+,RE_TD,RU_ATT,RU_YDS,RU_TD,FL,G,FPTS,FPTS/G,OWN
182,Jason Moore Jr. (LAC),3,4,56,18.7,24,1,0,0,0,0,0,1,7.1,7.1,0.00%
183,Alex Erickson (WAS),3,4,55,18.3,25,1,0,0,0,0,0,17,7,0.4,0.00%
184,Curtis Samuel (WAS),6,9,27,4.5,10,0,0,4,11,0,0,5,6.8,1.4,5.80%
185,William Fuller V (FA),4,8,26,6.5,10,0,0,0,0,0,0,2,6.6,3.3,1.90%
186,Brandon Powell (LAR),0,0,0,0,0,0,0,0,0,0,0,6,6,1,0.10%
187,Cody White (PIT),5,6,33,6.6,11,0,0,0,0,0,0,6,5.8,1,0.00%
188,Willie Snead IV (SF),4,8,38,9.5,15,0,0,0,0,0,0,7,5.8,0.8,0.00%
189,Pharoh Cooper (FA),4,11,33,8.3,15,0,0,1,3,0,0,8,5.6,0.7,0.00%
190,Greg Dortch (ARI),3,3,15,5,10,0,0,1,24,0,0,5,5.4,1.1,0.00%
191,Cody Hollister (TEN),4,7,33,8.3,14,0,0,0,0,0,0,3,5.3,1.8,0.00%
192,D.J. Montgomery (IND),3,6,36,12,14,0,0,0,0,0,0,2,5.1,2.6,0.00%
193,Trent Taylor (CIN),2,3,41,20.5,26,1,0,0,0,0,0,4,5.1,1.3,0.10%
194,Gunner Olszewski (PIT),2,3,31,15.5,22,1,0,1,9,0,0,16,5,0.3,0.10%
195,J.J. Arcega-Whiteside (SEA),2,5,36,18,23,1,0,0,0,0,0,7,4.6,0.7,0.10%
196,KJ Hill Jr. (FA),3,3,30,10,19,0,0,0,0,0,0,6,4.5,0.8,0.00%
197,Christian Blake (PIT),4,10,25,6.3,8,0,0,0,0,0,0,10,4.5,0.5,0.00%
198,Trenton Irwin (CIN),2,5,34,17,25,1,0,0,0,0,0,5,4.4,0.9,0.00%
199,Kevin White (NO),1,5,38,38,38,2,0,0,0,0,0,4,4.3,1.1,0.00%
200,Seth Williams (DEN),1,1,34,34,34,2,0,0,0,0,0,1,3.9,3.9,0.00%
201,Jake Kumerow (BUF),2,6,28,14,15,0,0,0,0,0,0,7,3.8,0.5,0.10%
202,Mike Strachan (IND),2,3,26,13,16,0,0,0,0,0,0,2,3.6,1.8,0.00%
203,Marcus Kemp (NYG),2,5,24,12,16,0,0,0,0,0,0,12,3.4,0.3,0.00%
204,Dazz Newsome (CHI),2,5,23,11.5,13,0,0,0,0,0,0,3,3.3,1.1,0.00%
205,Tylan Wallace (BAL),2,6,23,11.5,18,0,0,0,0,0,0,10,3.3,0.3,0.20%
206,Keith Kirkwood (CAR),3,7,17,5.7,7,0,0,0,0,0,0,3,3.2,1.1,0.00%
207,David Sills V (NYG),2,6,17,8.5,12,0,0,0,0,0,0,4,2.7,0.7,0.00%
208,Tyron Johnson (LV),2,5,16,8,10,0,0,0,0,0,0,7,2.6,0.4,0.10%
209,Tyrell Williams (FA),2,3,14,7,7,0,0,0,0,0,0,1,2.4,2.4,0.00%
210,Stanley Morgan Jr. (CIN),2,4,11,5.5,8,0,0,1,3,0,0,11,2.4,0.2,0.10%
211,Davion Davis (FA),1,3,17,17,17,0,0,0,0,0,0,2,2.2,1.1,0.00%
212,C.J. Saunders (CAR),2,2,11,5.5,8,0,0,0,0,0,0,1,2.1,2.1,0.00%
213,Jaydon Mickens (FA),2,3,10,5,12,0,0,0,0,0,0,12,2,0.2,0.00%
214,Frank Darby (ATL),1,4,14,14,14,0,0,0,0,0,0,4,1.9,0.5,0.00%
215,Kirk Merritt (NO),1,3,13,13,13,0,0,0,0,0,0,1,1.8,1.8,0.00%
216,Andy Isabella (ARI),1,1,13,13,13,0,0,0,0,0,0,3,1.8,0.6,0.10%
217,Marvin Hall (JAC),1,1,10,10,10,0,0,0,0,0,0,1,1.5,1.5,0.00%
218,Tarik Black (NYJ),1,2,10,10,10,0,0,0,0,0,0,1,1.5,1.5,0.00%
219,Tommylee Lewis (FA),1,2,7,7,7,0,0,0,0,0,0,2,1.2,0.6,0.00%
220,Miles Boykin (PIT),1,1,6,6,6,0,0,0,0,0,0,2,1.1,0.6,0.10%
221,Easop Winston Jr. (CLE),1,1,5,5,5,0,0,0,0,0,0,3,1,0.3,0.00%
222,Keke Coutee (IND),1,1,5,5,5,0,0,0,0,0,0,1,1,1,0.00%
223,Malik Taylor (GB),2,3,14,7,7,0,0,0,0,0,1,7,0.4,0.1,0.00%
224,Maurice Ffrench (FA),0,0,0,0,0,0,0,1,3,0,0,2,0.3,0.2,0.00%
225,Tutu Atwell (LAR),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.50%
226,Reggie Roberson Jr. (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
227,Sage Surratt (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
228,Aaron Parker (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
229,Marquez Stevenson (BUF),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.10%
230,Justyn Ross (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
231,Isaiah Coulter (CHI),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
232,Scotty Washington (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
233,Isaiah Zuber (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
234,Josh Hammond (NE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
235,DeMichael Harris (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
236,Matt Cole (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
237,Willie Johnson (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
238,Dan Chisena (MIN),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
239,Chris Olave (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.80%
240,Andre Baccellia (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
241,Jeff Cotton Jr. (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
242,Pooka Williams Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
243,Jaylon Moore (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
244,T.J. Vasher (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
245,John Hurst (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
246,Chris Finke (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
247,Terry Godwin (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
248,Kelvin Harmon (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
249,Vyncint Smith (TB),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
250,Chris Lacy (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
251,Justin Watson (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
252,Damion Ratley (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
253,Rico Gafford (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
254,Jordan Veasy (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
255,Mason Kinsey (TEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
256,Darrius Shepherd (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
257,Steven Sims Jr. (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
258,Aaron Fuller (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
259,Lynn Bowden Jr. (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
260,Lawrence Cager (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
261,Austin Mack (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
262,Tyrie Cleveland (DEN),0,1,0,0,0,0,0,0,0,0,0,4,0,0,0.10%
263,Trishton Jackson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
264,Binjimen Victor (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
265,John Hightower (PHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
266,Tyler Vaughns (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
267,Joe Reed (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
268,Charleston Rambo (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
269,Isaiah Hodgins (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
270,Antonio Gandy-Golden (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
271,Ishmael Hyman (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
272,KeeSean Johnson (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
273,Gary Jennings Jr. (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
274,Keelan Doss (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
275,Cody Thompson (SEA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
276,KaVontae Turpin (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
277,Bisi Johnson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
278,Travis Fulgham (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
279,Quinton Bell (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
280,Kabion Ento (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
281,Nsimba Webster (CHI),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
282,Romeo Doubs (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00%
283,Skyy Moore (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.00%
284,Kyle Philips (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
285,Slade Bolden (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
286,Christian Watson (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.10%
287,Samori Toure (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
288,Jerreth Sterns (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
289,Jaquarii Roberson (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
290,Dontario Drummond (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
291,Alec Pierce (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60%
292,Jalen Tolbert (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.80%
293,Erik Ezukanma (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
294,Khalil Shakir (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
295,Calvin Austin III (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
296,Jameson Williams (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.50%
297,Calvin Jackson Jr. (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
298,Kalil Pimpleton (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
299,Jalen Virgil (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
300,Stanley Berryhill III (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
301,Tanner Conner (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
302,Velus Jones Jr. (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60%
303,Kaylon Geiger (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
304,Tyler Snead (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
305,Danny Gray (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
306,Jalen Nailor (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
307,Deven Thompkins (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
308,Bo Melton (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
309,Tay Martin (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
310,Simi Fehoko (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
311,Drake London (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.60%
312,David Bell (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10%
313,Jahan Dotson (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.10%
314,Landen Akers (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
315,Michael Bandy (LAC),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
316,Tim Jones (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
317,Dillon Stoner (LV),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
318,DJ Turner (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
319,Connor Wedington (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
320,Blake Proehl (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
321,Myron Mitchell (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
322,Brandon Smith (DAL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
323,Bailey Gaither (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
324,Osirus Mitchell (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
325,Kawaan Baker (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
326,Tre Nixon (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
327,Jalen Camp (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
328,Austin Trammell (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
329,Jacob Harris (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%
330,Ethan Fernea (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
331,Dennis Houston (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
332,Mike Harley Jr. (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
333,Jack Sorenson (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
334,Kendric Pryor (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
335,Kwamie Lassiter II (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
336,Neil Pau'u (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
337,Andre Miller (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
338,Lance McCutcheon (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
339,Raleigh Webb (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
340,Shemar Bridges (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
341,Kevin Shaa (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
342,Rashid Shaheed (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
343,Jared Bernhardt (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
344,Samson Nacua (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
345,Justin Hall (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
346,Chris Pierce Jr. (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
