"Rank","Player","Team","Position","Points","Games","Avg"
"1","Dak Prescott","DAL","QB","31.8","1","31.8"
"2","Danny Amendola","HOU","WR","28.8","1","28.8"
"3","Justin Herbert","LAC","QB","28.4","1","28.4"
"4","Ryan Tannehill","TEN","QB","27.3","1","27.3"
"5","Davis Mills","HOU","QB","27.2","1","27.2"
"6","Deebo Samuel","SF","WR","27.0","1","27.0"
"7","Austin Ekeler","LAC","RB","26.4","1","26.4"
"7","Cedrick Wilson Jr.","DAL","WR","26.4","1","26.4"
"9","Patrick Mahomes II","KC","QB","26.2","1","26.2"
"10","Tom Brady","TB","QB","25.0","1","25.0"
"10","Rashaad Penny","SEA","RB","25.0","1","25.0"
"10","Russell Wilson","SEA","QB","25.0","1","25.0"
"13","Tyler Lockett","SEA","WR","24.5","1","24.5"
"14","Jauan Jennings","SF","WR","24.4","1","24.4"
"15","James Conner","ARI","RB","24.3","1","24.3"
"16","Devin Singletary","BUF","RB","24.2","1","24.2"
"17","Josh Allen","BUF","QB","23.9","1","23.9"
"17","Mike Evans","TB","WR","23.9","1","23.9"
"19","Russell Gage","ATL","WR","23.1","1","23.1"
"19","Cooper Kupp","LAR","WR","23.1","1","23.1"
"21","Mike Williams","LAC","WR","22.4","1","22.4"
"22","Amon-Ra St. Brown","DET","WR","22.1","1","22.1"
"23","Drew Lock","DEN","QB","22.0","1","22.0"
"23","Allen Lazard","GB","WR","22.0","1","22.0"
"25","Kirk Cousins","MIN","QB","21.9","1","21.9"
"26","Antonio Gibson","WAS","RB","21.6","1","21.6"
"27","Josh Jacobs","LV","RB","21.4","1","21.4"
"28","Daniel Carlson","LV","K","21.0","1","21.0"
"28","Latavius Murray","BAL","RB","21.0","1","21.0"
"30","Tyler Higbee","LAR","TE","20.5","1","20.5"
"31","Miami Dolphins","MIA","DST","20.0","1","20.0"
"32","D'Ernest Johnson","CLE","RB","19.8","1","19.8"
"33","Justin Jefferson","MIN","WR","19.6","1","19.6"
"33","Brandon Bolden","NE","RB","19.6","1","19.6"
"35","Matthew Stafford","LAR","QB","19.5","1","19.5"
"36","Kalif Raymond","DET","WR","19.4","1","19.4"
"37","Washington Commanders","WAS","DST","19.0","1","19.0"
"38","Duke Johnson Jr.","MIA","RB","18.7","1","18.7"
"39","Stefon Diggs","BUF","WR","18.6","1","18.6"
"39","Trevor Lawrence","JAC","QB","18.6","1","18.6"
"39","Darnell Mooney","CHI","WR","18.6","1","18.6"
"42","Marvin Jones Jr.","JAC","WR","18.3","1","18.3"
"43","Minnesota Vikings","MIN","DST","18.0","1","18.0"
"44","Ihmir Smith-Marsette","MIN","WR","17.8","1","17.8"
"45","Andy Dalton","CHI","QB","17.7","1","17.7"
"46","Jared Goff","DET","QB","17.5","1","17.5"
"47","Michael Pittman Jr.","IND","WR","17.4","1","17.4"
"48","Alvin Kamara","NO","RB","17.2","1","17.2"
"48","Rob Gronkowski","TB","TE","17.2","1","17.2"
"50","Kyler Murray","ARI","QB","17.1","1","17.1"
"51","Quez Watkins","PHI","WR","16.9","1","16.9"
"52","Kenneth Gainwell","PHI","RB","16.7","1","16.7"
"53","Jarvis Landry","CLE","WR","16.5","1","16.5"
"54","Melvin Gordon III","DEN","RB","16.1","1","16.1"
"54","Tre'Quan Smith","NO","WR","16.1","1","16.1"
"56","Corey Clement","DAL","RB","16.0","1","16.0"
"57","Nick Westbrook-Ikhine","TEN","WR","15.8","1","15.8"
"58","Sam Darnold","CAR","QB","15.7","1","15.7"
"59","Dalton Schultz","DAL","TE","15.6","1","15.6"
"60","Chase Claypool","PIT","WR","15.5","1","15.5"
"61","Gardner Minshew II","PHI","QB","15.4","1","15.4"
"62","Mecole Hardman","KC","WR","15.3","1","15.3"
"62","Damien Harris","NE","RB","15.3","1","15.3"
"62","Derek Carr","LV","QB","15.3","1","15.3"
"65","Buffalo Bills","BUF","DST","15.0","1","15.0"
"66","Hunter Renfrow","LV","WR","14.9","1","14.9"
"67","A.J. Brown","TEN","WR","14.8","1","14.8"
"68","Jimmy Garoppolo","SF","QB","14.7","1","14.7"
"69","Robbie Anderson","CAR","WR","14.5","1","14.5"
"70","Julio Jones","TEN","WR","14.3","1","14.3"
"71","Aaron Rodgers","GB","QB","14.2","1","14.2"
"72","Josiah Deguara","GB","TE","14.1","1","14.1"
"73","Jacksonville Jaguars","JAC","DST","14.0","1","14.0"
"73","Matthew Wright","JAC","K","14.0","1","14.0"
"75","Chris Evans","CIN","RB","13.9","1","13.9"
"76","Brandon Aiyuk","SF","WR","13.7","1","13.7"
"77","Anthony Firkser","TEN","TE","13.6","1","13.6"
"78","DJ Moore","CAR","WR","13.5","1","13.5"
"78","Case Keenum","CLE","QB","13.5","1","13.5"
"80","Riley Patterson","DET","K","13.0","1","13.0"
"80","Pittsburgh Steelers","PIT","DST","13.0","1","13.0"
"80","Matt Prater","ARI","K","13.0","1","13.0"
"83","Keelan Cole Sr.","NYJ","WR","12.9","1","12.9"
"84","Ameer Abdullah","Multi","RB","12.7","1","12.7"
"85","Chuba Hubbard","CAR","RB","12.6","1","12.6"
"85","Patrick Taylor Jr.","GB","RB","12.6","1","12.6"
"85","D'Andre Swift","DET","RB","12.6","1","12.6"
"88","Joshua Palmer","LAC","WR","12.5","1","12.5"
"88","Tim Patrick","DEN","WR","12.5","1","12.5"
"88","Jerick McKinnon","KC","RB","12.5","1","12.5"
"88","Mark Andrews","BAL","TE","12.5","1","12.5"
"92","Ben Roethlisberger","PIT","QB","12.4","1","12.4"
"93","Tua Tagovailoa","MIA","QB","12.2","1","12.2"
"94","Carson Wentz","IND","QB","12.1","1","12.1"
"94","Brock Wright","DET","TE","12.1","1","12.1"
"96","Ryan Succop","TB","K","12.0","1","12.0"
"96","Cairo Santos","CHI","K","12.0","1","12.0"
"96","Brett Maher","NO","K","12.0","1","12.0"
"99","Zach Ertz","Multi","TE","11.9","1","11.9"
"100","Mac Jones","NE","QB","11.8","1","11.8"
"100","Matt Ryan","ATL","QB","11.8","1","11.8"
"102","Scotty Miller","TB","WR","11.7","1","11.7"
"103","Travis Kelce","KC","TE","11.4","1","11.4"
"104","Terry McLaurin","WAS","WR","11.3","1","11.3"
"104","Chris Moore","HOU","WR","11.3","1","11.3"
"106","Jaylen Waddle","MIA","WR","11.2","1","11.2"
"107","Ke'Shawn Vaughn","TB","RB","11.1","1","11.1"
"107","Hunter Henry","NE","TE","11.1","1","11.1"
"109","Jonathan Taylor","IND","RB","11.0","1","11.0"
"109","Cincinnati Bengals","CIN","DST","11.0","1","11.0"
"109","Younghoe Koo","ATL","K","11.0","1","11.0"
"109","Chris Boswell","PIT","K","11.0","1","11.0"
"109","Joey Slye","Multi","K","11.0","1","11.0"
"114","Damien Williams","CHI","RB","10.8","1","10.8"
"115","Trevor Siemian","NO","QB","10.7","1","10.7"
"116","Amari Cooper","DAL","WR","10.4","1","10.4"
"117","Taysom Hill","NO","QB","10.1","1","10.1"
"118","Jason Sanders","MIA","K","10.0","1","10.0"
"118","Jared Cook","LAC","TE","10.0","1","10.0"
"118","Greg Zuerlein","DAL","K","10.0","1","10.0"
"118","Robbie Gould","SF","K","10.0","1","10.0"
"118","Tyler Bass","BUF","K","10.0","1","10.0"
"118","Harrison Butker","KC","K","10.0","1","10.0"
"118","New Orleans Saints","NO","DST","10.0","1","10.0"
"125","Darius Slayton","NYG","WR","9.9","1","9.9"
"125","Laquon Treadwell","JAC","WR","9.9","1","9.9"
"125","Zach Wilson","NYJ","QB","9.9","1","9.9"
"128","Tyree Jackson","PHI","TE","9.7","1","9.7"
"128","Brandon Allen","CIN","QB","9.7","1","9.7"
"130","Tom Kennedy","DET","WR","9.6","1","9.6"
"131","Ezekiel Elliott","DAL","RB","9.5","1","9.5"
"132","Jake Fromm","NYG","QB","9.4","1","9.4"
"132","Demetric Felton Jr.","CLE","RB","9.4","1","9.4"
"134","Jordan Love","GB","QB","9.3","1","9.3"
"135","Freddie Swain","SEA","WR","9.0","1","9.0"
"135","San Francisco 49ers","SF","DST","9.0","1","9.0"
"135","Jake Elliott","PHI","K","9.0","1","9.0"
"135","Kansas City Chiefs","KC","DST","9.0","1","9.0"
"135","Detroit Lions","DET","DST","9.0","1","9.0"
"140","D'Onta Foreman","TEN","RB","8.9","1","8.9"
"140","David Montgomery","CHI","RB","8.9","1","8.9"
"142","Tyler Huntley","BAL","QB","8.8","1","8.8"
"143","Laviska Shenault Jr.","JAC","WR","8.7","1","8.7"
"143","Dalvin Cook","MIN","RB","8.7","1","8.7"
"145","K.J. Osborn","MIN","WR","8.6","1","8.6"
"145","Diontae Johnson","PIT","WR","8.6","1","8.6"
"145","JaQuan Hardy","DAL","RB","8.6","1","8.6"
"148","Elijah Mitchell","SF","RB","8.5","1","8.5"
"148","Davante Adams","GB","WR","8.5","1","8.5"
"150","Bryan Edwards","LV","WR","8.3","1","8.3"
"150","DK Metcalf","SEA","WR","8.3","1","8.3"
"150","Pat Freiermuth","PIT","TE","8.3","1","8.3"
"150","Adam Trautman","NO","TE","8.3","1","8.3"
"154","Keenan Allen","LAC","WR","8.2","1","8.2"
"154","Nico Collins","HOU","WR","8.2","1","8.2"
"154","Jalen Guyton","LAC","WR","8.2","1","8.2"
"157","Rex Burkhead","HOU","RB","8.1","1","8.1"
"157","Byron Pringle","KC","WR","8.1","1","8.1"
"159","Jason Myers","SEA","K","8.0","1","8.0"
"159","Le'Veon Bell","Multi","RB","8.0","1","8.0"
"159","Cleveland Browns","CLE","DST","8.0","1","8.0"
"159","Justin Tucker","BAL","K","8.0","1","8.0"
"163","Qadree Ollison","ATL","RB","7.9","1","7.9"
"164","Eno Benjamin","ARI","RB","7.6","1","7.6"
"165","Najee Harris","PIT","RB","7.5","1","7.5"
"166","Javonte Williams","DEN","RB","7.4","1","7.4"
"167","AJ Dillon","GB","RB","7.2","1","7.2"
"167","Ryquell Armstead","JAC","RB","7.2","1","7.2"
"167","Damiere Byrd","CHI","WR","7.2","1","7.2"
"170","Juwan Johnson","NO","TE","7.0","1","7.0"
"170","Jakobi Meyers","NE","WR","7.0","1","7.0"
"170","Arizona Cardinals","ARI","DST","7.0","1","7.0"
"170","Nick Folk","NE","K","7.0","1","7.0"
"170","Tampa Bay Buccaneers","TB","DST","7.0","1","7.0"
"170","Seattle Seahawks","SEA","DST","7.0","1","7.0"
"170","Dustin Hopkins","Multi","K","7.0","1","7.0"
"170","Los Angeles Rams","LAR","DST","7.0","1","7.0"
"170","Greg Joseph","MIN","K","7.0","1","7.0"
"170","Matt Gay","LAR","K","7.0","1","7.0"
"170","Dare Ogunbowale","JAC","RB","7.0","1","7.0"
"181","Breshad Perriman","TB","WR","6.9","1","6.9"
