"Rank","Player","Team","Position","Points","Games","Avg"
"1","Travis Kelce","KC","TE","36.1","1","36.1"
"2","Tyler Huntley","BAL","QB","35.9","1","35.9"
"3","Mark Andrews","BAL","TE","30.6","1","30.6"
"3","Patrick Mahomes II","KC","QB","30.6","1","30.6"
"5","Cooper Kupp","LAR","WR","30.2","1","30.2"
"6","Jalen Hurts","PHI","QB","28.6","1","28.6"
"7","Tyreek Hill","KC","WR","26.8","1","26.8"
"8","Brandin Cooks","HOU","WR","25.7","1","25.7"
"9","Duke Johnson Jr.","MIA","RB","25.2","1","25.2"
"10","Cam Newton","CAR","QB","24.3","1","24.3"
"11","Justin Herbert","LAC","QB","24.0","1","24.0"
"12","Aaron Rodgers","GB","QB","23.8","1","23.8"
"13","Gabriel Davis","BUF","WR","23.0","1","23.0"
"13","Jonathan Taylor","IND","RB","23.0","1","23.0"
"15","Hunter Henry","NE","TE","22.7","1","22.7"
"16","Josh Allen","BUF","QB","21.8","1","21.8"
"17","Jared Goff","DET","QB","20.6","1","20.6"
"18","Christian Kirk","ARI","WR","19.9","1","19.9"
"19","Amon-Ra St. Brown","DET","WR","19.5","1","19.5"
"20","Mac Jones","NE","QB","19.2","1","19.2"
"21","Russell Gage","ATL","WR","19.1","1","19.1"
"22","Jeff Wilson Jr.","SF","RB","18.9","1","18.9"
"23","Marquez Valdes-Scantling","GB","WR","18.3","1","18.3"
"24","Tyler Boyd","CIN","WR","18.1","1","18.1"
"25","New Orleans Saints","NO","DST","18.0","1","18.0"
"26","Dallas Goedert","PHI","TE","17.0","1","17.0"
"27","Deebo Samuel","SF","WR","16.9","1","16.9"
"27","Justin Fields","CHI","QB","16.9","1","16.9"
"29","Keenan Allen","LAC","WR","16.8","1","16.8"
"30","Dalton Schultz","DAL","TE","16.7","1","16.7"
"31","Matthew Stafford","LAR","QB","16.5","1","16.5"
"32","James Robinson","JAC","RB","16.3","1","16.3"
"33","Austin Ekeler","LAC","RB","16.2","1","16.2"
"34","Devin Singletary","BUF","RB","16.1","1","16.1"
"35","Dallas Cowboys","DAL","DST","16.0","1","16.0"
"35","Ka'imi Fairbairn","HOU","K","16.0","1","16.0"
"35","Pittsburgh Steelers","PIT","DST","16.0","1","16.0"
"38","Nick Chubb","CLE","RB","15.8","1","15.8"
"38","Josh Reynolds","Multi","WR","15.8","1","15.8"
"40","Tua Tagovailoa","MIA","QB","15.7","1","15.7"
"41","Davis Mills","HOU","QB","15.6","1","15.6"
"41","Miles Sanders","PHI","RB","15.6","1","15.6"
"43","Antonio Gibson","WAS","RB","15.5","1","15.5"
"44","Chris Boswell","PIT","K","15.0","1","15.0"
"44","Minnesota Vikings","MIN","DST","15.0","1","15.0"
"46","DeVante Parker","MIA","WR","14.8","1","14.8"
"47","Ezekiel Elliott","DAL","RB","14.7","1","14.7"
"48","D'Onta Foreman","TEN","RB","14.5","1","14.5"
"49","Marquez Callaway","NO","WR","14.2","1","14.2"
"50","Indianapolis Colts","IND","DST","14.0","1","14.0"
"50","Aaron Jones","GB","RB","14.0","1","14.0"
"50","Riley Patterson","DET","K","14.0","1","14.0"
"53","Jimmy Garoppolo","SF","QB","13.8","1","13.8"
