"Rank","Player","Team","Position","Points","Games","Avg"
"1","Derrick Henry","TEN","RB","44.7","1","44.7"
"2","Aaron Jones","GB","RB","38.5","1","38.5"
"3","Kyler Murray","ARI","QB","35.1","1","35.1"
"4","Lamar Jackson","BAL","QB","34.3","1","34.3"
"5","Cooper Kupp","LAR","WR","32.3","1","32.3"
"6","Tom Brady","TB","QB","29.6","1","29.6"
"7","Daniel Jones","NYG","QB","29.5","1","29.5"
"8","Tyler Lockett","SEA","WR","27.8","1","27.8"
"9","Aaron Rodgers","GB","QB","26.8","1","26.8"
"10","Kirk Cousins","MIN","QB","25.3","1","25.3"
"11","Patrick Mahomes II","KC","QB","25.0","1","25.0"
"12","Derek Carr","LV","QB","24.2","1","24.2"
"13","Russell Wilson","SEA","QB","23.3","1","23.3"
"14","Terry McLaurin","WAS","WR","22.2","1","22.2"
"14","Christian McCaffrey","CAR","RB","22.2","1","22.2"
"16","Buffalo Bills","BUF","DST","22.0","1","22.0"
"16","Graham Gano","NYG","K","22.0","1","22.0"
"16","Mike Evans","TB","WR","22.0","1","22.0"
"19","Jalen Hurts","PHI","QB","21.8","1","21.8"
"20","Tony Pollard","DAL","RB","21.5","1","21.5"
"21","Cordarrelle Patterson","ATL","RB","21.4","1","21.4"
"22","Teddy Bridgewater","DEN","QB","21.2","1","21.2"
"23","Taylor Heinicke","WAS","QB","21.0","1","21.0"
"24","Rondale Moore","ARI","WR","20.9","1","20.9"
"25","Courtland Sutton","DEN","WR","20.4","1","20.4"
"25","Travis Kelce","KC","TE","20.4","1","20.4"
"27","Marquise Brown","BAL","WR","20.3","1","20.3"
"28","Henry Ruggs III","LV","WR","20.0","1","20.0"
"28","Chicago Bears","CHI","DST","20.0","1","20.0"
"30","Sam Darnold","CAR","QB","19.9","1","19.9"
"31","Jimmy Garoppolo","SF","QB","19.6","1","19.6"
"32","Jared Goff","DET","QB","19.4","1","19.4"
"33","Matt Ryan","ATL","QB","19.3","1","19.3"
"34","Tampa Bay Buccaneers","TB","DST","19.0","1","19.0"
"34","New England Patriots","NE","DST","19.0","1","19.0"
"36","Mike Williams","LAC","WR","18.6","1","18.6"
"36","Carson Wentz","IND","QB","18.6","1","18.6"
"38","Baker Mayfield","CLE","QB","18.5","1","18.5"
"38","Freddie Swain","SEA","WR","18.5","1","18.5"
"40","Brandin Cooks","HOU","WR","18.3","1","18.3"
"41","Matthew Stafford","LAR","QB","18.2","1","18.2"
"42","Austin Ekeler","LAC","RB","18.0","1","18.0"
"43","Rob Gronkowski","TB","TE","17.9","1","17.9"
"43","DJ Moore","CAR","WR","17.9","1","17.9"
"45","J.D. McKissic","WAS","RB","17.8","1","17.8"
"46","Josh Allen","BUF","QB","17.7","1","17.7"
"47","K.J. Osborn","MIN","WR","17.6","1","17.6"
"48","Daniel Carlson","LV","K","17.0","1","17.0"
"49","Ezekiel Elliott","DAL","RB","16.7","1","16.7"
"49","Justin Herbert","LAC","QB","16.7","1","16.7"
"51","Najee Harris","PIT","RB","16.6","1","16.6"
"51","T.J. Hockenson","DET","TE","16.6","1","16.6"
"53","Tyrod Taylor","HOU","QB","16.5","1","16.5"
"54","Nick Chubb","CLE","RB","16.3","1","16.3"
"54","Michael Pittman Jr.","IND","WR","16.3","1","16.3"
"56","Davante Adams","GB","WR","16.1","1","16.1"
"56","Devin Singletary","BUF","RB","16.1","1","16.1"
"58","Julio Jones","TEN","WR","15.8","1","15.8"
"58","Calvin Ridley","ATL","WR","15.8","1","15.8"
"58","Dalvin Cook","MIN","RB","15.8","1","15.8"
"61","Darrell Henderson Jr.","LAR","RB","15.7","1","15.7"
"62","Justin Jefferson","MIN","WR","15.5","1","15.5"
"62","James White","NE","RB","15.5","1","15.5"
"64","Chris Carson","SEA","RB","15.1","1","15.1"
"65","Nick Folk","NE","K","15.0","1","15.0"
"65","Randy Bullock","TEN","K","15.0","1","15.0"
"65","Diontae Johnson","PIT","WR","15.0","1","15.0"
"68","Ben Roethlisberger","PIT","QB","14.8","1","14.8"
"69","Ryan Tannehill","TEN","QB","14.6","1","14.6"
"70","Marvin Jones Jr.","JAC","WR","14.5","1","14.5"
"71","Zack Moss","BUF","RB","14.4","1","14.4"
"72","Quintez Cephus","DET","WR","14.3","1","14.3"
"73","Chris Godwin","TB","WR","14.2","1","14.2"
"74","Stefon Diggs","BUF","WR","14.0","1","14.0"
"74","Dustin Hopkins","Multi","K","14.0","1","14.0"
"76","CeeDee Lamb","DAL","WR","13.4","1","13.4"
"76","DeAndre Hopkins","ARI","WR","13.4","1","13.4"
"76","JuJu Smith-Schuster","PIT","WR","13.4","1","13.4"
"79","Byron Pringle","KC","WR","13.3","1","13.3"
"79","Joe Burrow","CIN","QB","13.3","1","13.3"
"81","Deebo Samuel","SF","WR","13.1","1","13.1"
"82","Brandon McManus","DEN","K","13.0","1","13.0"
"82","Sterling Shepard","NYG","WR","13.0","1","13.0"
"82","Greg Joseph","MIN","K","13.0","1","13.0"
"82","Tee Higgins","CIN","WR","13.0","1","13.0"
"86","Adam Thielen","MIN","WR","12.9","1","12.9"
"86","Darius Slayton","NYG","WR","12.9","1","12.9"
"86","Maxx Williams","ARI","TE","12.9","1","12.9"
"86","Damien Harris","NE","RB","12.9","1","12.9"
"90","Keenan Allen","LAC","WR","12.8","1","12.8"
"91","Robert Tonyan","GB","TE","12.7","1","12.7"
"91","Quez Watkins","PHI","WR","12.7","1","12.7"
"93","Ja'Marr Chase","CIN","WR","12.4","1","12.4"
"94","Zach Pascal","IND","WR","12.3","1","12.3"
"95","Demarcus Robinson","KC","WR","12.1","1","12.1"
"95","Demetric Felton Jr.","CLE","RB","12.1","1","12.1"
"97","Matt Prater","ARI","K","12.0","1","12.0"
"97","Minnesota Vikings","MIN","DST","12.0","1","12.0"
"97","Rodrigo Blankenship","IND","K","12.0","1","12.0"
"97","Carolina Panthers","CAR","DST","12.0","1","12.0"
"101","A.J. Green","ARI","WR","11.9","1","11.9"
"101","Brandon Zylstra","CAR","WR","11.9","1","11.9"
"103","Noah Fant","DEN","TE","11.3","1","11.3"
"104","Tim Patrick","DEN","WR","11.2","1","11.2"
"105","Indianapolis Colts","IND","DST","11.0","1","11.0"
"106","Jack Doyle","IND","TE","10.9","1","10.9"
"107","Braxton Berrios","NYJ","WR","10.8","1","10.8"
"107","Tyler Boyd","CIN","WR","10.8","1","10.8"
"109","Foster Moreau","LV","TE","10.4","1","10.4"
"110","Ty'Son Williams","BAL","RB","10.3","1","10.3"
"110","Jameis Winston","NO","QB","10.3","1","10.3"
"112","Tristan Vizcaino","LAC","K","10.0","1","10.0"
"112","Greg Zuerlein","DAL","K","10.0","1","10.0"
"112","Chase Edmonds","ARI","RB","10.0","1","10.0"
"115","D'Andre Swift","DET","RB","9.8","1","9.8"
"115","Michael Carter","NYJ","RB","9.8","1","9.8"
"115","Mike Davis","ATL","RB","9.8","1","9.8"
"115","Kyle Pitts","ATL","TE","9.8","1","9.8"
"119","Latavius Murray","BAL","RB","9.6","1","9.6"
"119","Darnell Mooney","CHI","WR","9.6","1","9.6"
"119","Leonard Fournette","TB","RB","9.6","1","9.6"
"122","Robert Woods","LAR","WR","9.5","1","9.5"
"123","David Montgomery","CHI","RB","9.4","1","9.4"
"123","Allen Robinson II","CHI","WR","9.4","1","9.4"
"125","Jacksonville Jaguars","JAC","DST","9.0","1","9.0"
"125","Zane Gonzalez","CAR","K","9.0","1","9.0"
"125","Darren Waller","LV","TE","9.0","1","9.0"
"125","Denver Broncos","DEN","DST","9.0","1","9.0"
"125","Matt Gay","LAR","K","9.0","1","9.0"
"130","Phillip Lindsay","Multi","RB","8.9","1","8.9"
"131","Trevor Lawrence","JAC","QB","8.8","1","8.8"
"132","Jauan Jennings","SF","WR","8.7","1","8.7"
"132","Andy Dalton","CHI","QB","8.7","1","8.7"
"132","Dawson Knox","BUF","TE","8.7","1","8.7"
"135","Dak Prescott","DAL","QB","8.5","1","8.5"
"136","Ricky Seals-Jones","WAS","TE","8.4","1","8.4"
"137","Antonio Gibson","WAS","RB","8.3","1","8.3"
"137","DK Metcalf","SEA","WR","8.3","1","8.3"
"139","Hunter Renfrow","LV","WR","8.2","1","8.2"
"139","Mark Andrews","BAL","TE","8.2","1","8.2"
"139","Chase Claypool","PIT","WR","8.2","1","8.2"
"142","San Francisco 49ers","SF","DST","8.0","1","8.0"
"142","Christian Kirk","ARI","WR","8.0","1","8.0"
"142","Cairo Santos","CHI","K","8.0","1","8.0"
"142","Los Angeles Rams","LAR","DST","8.0","1","8.0"
"142","Mecole Hardman","KC","WR","8.0","1","8.0"
"142","Kenyan Drake","LV","RB","8.0","1","8.0"
"148","Saquon Barkley","NYG","RB","7.9","1","7.9"
"148","Adam Humphries","WAS","WR","7.9","1","7.9"
"148","JaMycal Hasty","SF","RB","7.9","1","7.9"
"148","Melvin Gordon III","DEN","RB","7.9","1","7.9"
"148","Javonte Williams","DEN","RB","7.9","1","7.9"
"148","James Robinson","JAC","RB","7.9","1","7.9"
"154","Joe Mixon","CIN","RB","7.6","1","7.6"
"155","Mac Jones","NE","QB","7.4","1","7.4"
"156","Davis Mills","HOU","QB","7.0","1","7.0"
"156","Dallas Cowboys","DAL","DST","7.0","1","7.0"
"156","Dan Arnold","Multi","TE","7.0","1","7.0"
