"Rank","Player","Team","Position","Points","Games","Avg"
"1","Cooper Kupp","LAR","WR","32.6","1","32.6"
"2","Ja'Marr Chase","CIN","WR","30.1","1","30.1"
"3","Alvin Kamara","NO","RB","28.9","1","28.9"
"4","Mike Evans","TB","WR","28.6","1","28.6"
"5","Tua Tagovailoa","MIA","QB","28.5","1","28.5"
"6","Joe Burrow","CIN","QB","27.6","1","27.6"
"7","Matthew Stafford","LAR","QB","27.2","1","27.2"
"8","Aaron Rodgers","GB","QB","24.7","1","24.7"
"9","Tom Brady","TB","QB","24.4","1","24.4"
"9","D'Andre Swift","DET","RB","24.4","1","24.4"
"11","Damien Harris","NE","RB","24.3","1","24.3"
"12","D'Ernest Johnson","CLE","RB","23.8","1","23.8"
"13","Jalen Hurts","PHI","QB","23.5","1","23.5"
"14","A.J. Brown","TEN","WR","23.3","1","23.3"
"15","Lamar Jackson","BAL","QB","23.1","1","23.1"
"16","C.J. Uzomah","CIN","TE","22.6","1","22.6"
"17","Kyler Murray","ARI","QB","22.4","1","22.4"
"18","Mac Jones","NE","QB","22.2","1","22.2"
"19","Terry McLaurin","WAS","WR","21.7","1","21.7"
"20","Taylor Heinicke","WAS","QB","21.2","1","21.2"
"21","Chris Godwin","TB","WR","21.1","1","21.1"
"22","Tampa Bay Buccaneers","TB","DST","21.0","1","21.0"
"23","Ryan Tannehill","TEN","QB","20.4","1","20.4"
"24","Carson Wentz","IND","QB","20.3","1","20.3"
"25","Derek Carr","LV","QB","20.0","1","20.0"
"26","Kyle Pitts","ATL","TE","19.8","1","19.8"
"27","Michael Pittman Jr.","IND","WR","18.5","1","18.5"
"28","Matt Ryan","ATL","QB","18.4","1","18.4"
"29","Mike Gesicki","MIA","TE","18.0","1","18.0"
"30","Deebo Samuel","SF","WR","17.5","1","17.5"
"31","New York Giants","NYG","DST","17.0","1","17.0"
"31","Daniel Jones","NYG","QB","17.0","1","17.0"
"31","Tennessee Titans","TEN","DST","17.0","1","17.0"
"34","Jameis Winston","NO","QB","16.9","1","16.9"
"34","Brandon Bolden","NE","RB","16.9","1","16.9"
"36","Elijah Mitchell","SF","RB","16.7","1","16.7"
"37","Davante Adams","GB","WR","16.6","1","16.6"
"37","DK Metcalf","SEA","WR","16.6","1","16.6"
"39","Jonathan Taylor","IND","RB","16.5","1","16.5"
"39","Marquise Brown","BAL","WR","16.5","1","16.5"
"41","Leonard Fournette","TB","RB","16.0","1","16.0"
"42","Khalil Herbert","CHI","RB","15.8","1","15.8"
"43","Myles Gaskin","MIA","RB","15.7","1","15.7"
"44","Kenyan Drake","LV","RB","15.4","1","15.4"
"44","Derrick Henry","TEN","RB","15.4","1","15.4"
"46","J.J. Taylor","NE","RB","15.1","1","15.1"
"47","Graham Gano","NYG","K","15.0","1","15.0"
"47","Austin Seibert","DET","K","15.0","1","15.0"
"47","Foster Moreau","LV","TE","15.0","1","15.0"
"50","DeAndre Hopkins","ARI","WR","14.8","1","14.8"
"50","Teddy Bridgewater","DEN","QB","14.8","1","14.8"
"52","Russell Gage","ATL","WR","14.7","1","14.7"
"53","Kalif Raymond","DET","WR","14.6","1","14.6"
"54","Zach Ertz","Multi","TE","14.5","1","14.5"
"54","Allen Lazard","GB","WR","14.5","1","14.5"
"56","Josh Jacobs","LV","RB","14.3","1","14.3"
"56","Robert Tonyan","GB","TE","14.3","1","14.3"
"58","Javonte Williams","DEN","RB","14.2","1","14.2"
"59","Nick Folk","NE","K","14.0","1","14.0"
"59","Green Bay Packers","GB","DST","14.0","1","14.0"
"59","Samaje Perine","CIN","RB","14.0","1","14.0"
"62","Kendrick Bourne","NE","WR","13.8","1","13.8"
"63","Devontae Booker","NYG","RB","13.6","1","13.6"
"64","Cordarrelle Patterson","ATL","RB","13.1","1","13.1"
"65","Evan McPherson","CIN","K","13.0","1","13.0"
"65","Christian Kirk","ARI","WR","13.0","1","13.0"
"65","Jared Goff","DET","QB","13.0","1","13.0"
"65","Dante Pettis","NYG","WR","13.0","1","13.0"
"69","Case Keenum","CLE","QB","12.7","1","12.7"
"69","Corey Davis","NYJ","WR","12.7","1","12.7"
"71","James Conner","ARI","RB","12.4","1","12.4"
"71","Michael Carter","NYJ","RB","12.4","1","12.4"
"73","Van Jefferson","LAR","WR","12.3","1","12.3"
"74","Nelson Agholor","NE","WR","12.1","1","12.1"
"74","Kenneth Gainwell","PHI","RB","12.1","1","12.1"
"76","Younghoe Koo","ATL","K","12.0","1","12.0"
"76","New England Patriots","NE","DST","12.0","1","12.0"
"76","Robert Woods","LAR","WR","12.0","1","12.0"
"79","Joe Mixon","CIN","RB","11.9","1","11.9"
"79","Geno Smith","SEA","QB","11.9","1","11.9"
"81","Bryan Edwards","LV","WR","11.8","1","11.8"
"81","Jaylen Waddle","MIA","WR","11.8","1","11.8"
"83","Devonta Freeman","BAL","RB","11.4","1","11.4"
"84","Randy Bullock","TEN","K","11.0","1","11.0"
"84","Arizona Cardinals","ARI","DST","11.0","1","11.0"
"84","Indianapolis Colts","IND","DST","11.0","1","11.0"
"87","Calvin Ridley","ATL","WR","10.6","1","10.6"
"88","Dallas Goedert","PHI","TE","10.5","1","10.5"
"89","DJ Moore","CAR","WR","10.3","1","10.3"
"90","Melvin Gordon III","DEN","RB","10.2","1","10.2"
"91","Ty Johnson","NYJ","RB","10.1","1","10.1"
"91","Mike White","NYJ","QB","10.1","1","10.1"
"93","Travis Kelce","KC","TE","10.0","1","10.0"
"93","Mo Alie-Cox","IND","TE","10.0","1","10.0"
"95","Byron Pringle","KC","WR","9.8","1","9.8"
"96","Tyreek Hill","KC","WR","9.7","1","9.7"
"96","Elijah Moore","NYJ","WR","9.7","1","9.7"
"96","Tee Higgins","CIN","WR","9.7","1","9.7"
"96","MyCole Pruitt","TEN","TE","9.7","1","9.7"
"100","Chase Edmonds","ARI","RB","9.5","1","9.5"
"100","Jalen Reagor","PHI","WR","9.5","1","9.5"
"100","Rashod Bateman","BAL","WR","9.5","1","9.5"
"103","Boston Scott","PHI","RB","9.4","1","9.4"
"104","Hunter Henry","NE","TE","9.3","1","9.3"
"104","Hunter Renfrow","LV","WR","9.3","1","9.3"
"104","Courtland Sutton","DEN","WR","9.3","1","9.3"
"107","New Orleans Saints","NO","DST","9.0","1","9.0"
"107","Daniel Carlson","LV","K","9.0","1","9.0"
"107","Matt Gay","LAR","K","9.0","1","9.0"
"110","Darius Slayton","NYG","WR","8.8","1","8.8"
"111","Patrick Mahomes II","KC","QB","8.7","1","8.7"
"112","DeVonta Smith","PHI","WR","8.6","1","8.6"
"113","Mack Hollins","MIA","WR","8.3","1","8.3"
"114","Ricky Seals-Jones","WAS","TE","8.1","1","8.1"
"114","A.J. Green","ARI","WR","8.1","1","8.1"
"116","Seattle Seahawks","SEA","DST","8.0","1","8.0"
"116","Joey Slye","Multi","K","8.0","1","8.0"
"116","Ryan Succop","TB","K","8.0","1","8.0"
"119","Darrell Henderson Jr.","LAR","RB","7.9","1","7.9"
"120","T.J. Hockenson","DET","TE","7.8","1","7.8"
"121","David Johnson","HOU","RB","7.7","1","7.7"
"122","Chuba Hubbard","CAR","RB","7.6","1","7.6"
"122","J.D. McKissic","WAS","RB","7.6","1","7.6"
"124","Isaiah Ford","MIA","WR","7.5","1","7.5"
