RANK,TIER,PLAYER NAME,TEAM,POS,BYE,SOS_SEASON,ECR VS. ADP
441,15,Freddie Swain,SEA,WR148,11,4 out of 5 stars,-
442,15,Phillip Dorsett II,HOU,WR149,6,3 out of 5 stars,-
443,15,Jake Ferguson,DAL,TE60,9,3 out of 5 stars,-
444,15,Tyler Huntley,BAL,QB43,10,2 out of 5 stars,-117
445,15,Simi Fehoko,DAL,WR150,9,3 out of 5 stars,-
446,15,Ian Thomas,CAR,TE61,13,3 out of 5 stars,-
447,15,Quinn Nordin,FA,K38,-,-,-
448,15,Joe Flacco,NYJ,QB44,10,1 out of 5 stars,-
449,15,Justyn Ross,KC,WR151,8,2 out of 5 stars,-144
450,15,Tyrell Williams,FA,WR152,-,-,-
451,15,Ihmir Smith-Marsette,MIN,WR153,7,2 out of 5 stars,-
452,15,Kevin Harris,NE,RB124,10,4 out of 5 stars,-
453,15,Scotty Miller,TB,WR154,11,4 out of 5 stars,-
454,15,Denzel Mims,NYJ,WR155,10,1 out of 5 stars,-
455,15,Jalen Wydermyer,NE,TE62,10,4 out of 5 stars,-
456,15,Kennedy Brooks,PHI,RB125,7,3 out of 5 stars,-
457,15,Qadree Ollison,ATL,RB126,14,1 out of 5 stars,-55
458,15,Chris Herndon IV,NO,TE63,14,4 out of 5 stars,-
459,15,Justice Hill,BAL,RB127,10,4 out of 5 stars,-
460,15,Durham Smythe,MIA,TE64,11,3 out of 5 stars,-
461,15,Patrick Ricard,BAL,RB128,10,4 out of 5 stars,-
462,15,Drew Sample,CIN,TE65,10,2 out of 5 stars,-
463,15,Demetric Felton Jr.,CLE,RB129,9,3 out of 5 stars,-
464,15,Le'Veon Bell,FA,RB130,-,-,-
465,15,Tajae Sharpe,CHI,WR156,14,3 out of 5 stars,-
466,15,Jermar Jefferson,DET,RB131,6,4 out of 5 stars,-
467,15,Dez Fitzpatrick,TEN,WR157,6,3 out of 5 stars,-
468,15,Ryquell Armstead,JAC,RB132,11,3 out of 5 stars,-
469,15,Breshad Perriman,TB,WR158,11,4 out of 5 stars,-87
470,15,Ty Chandler,MIN,RB133,7,4 out of 5 stars,-
