"Rank","Player","Team","Position","Points","Games","Avg"
"1","Josh Allen","BUF","QB","37.2","1","37.2"
"2","Justin Herbert","LAC","QB","30.8","1","30.8"
"3","Mike Williams","LAC","WR","29.7","1","29.7"
"4","Matthew Stafford","LAR","QB","29.5","1","29.5"
"5","Tom Brady","TB","QB","28.7","1","28.7"
"6","Cooper Kupp","LAR","WR","26.1","1","26.1"
"7","Sam Darnold","CAR","QB","25.3","1","25.3"
"8","Davante Adams","GB","WR","25.2","1","25.2"
"9","Ezekiel Elliott","DAL","RB","25.1","1","25.1"
"9","Kirk Cousins","MIN","QB","25.1","1","25.1"
"11","Patrick Mahomes II","KC","QB","24.9","1","24.9"
"12","Kareem Hunt","CLE","RB","24.5","1","24.5"
"13","Emmanuel Sanders","BUF","WR","23.9","1","23.9"
"14","Ryan Tannehill","TEN","QB","23.5","1","23.5"
"15","Dalton Schultz","DAL","TE","23.0","1","23.0"
"16","Taylor Heinicke","WAS","QB","22.9","1","22.9"
"17","Jalen Hurts","PHI","QB","22.5","1","22.5"
"18","James Robinson","JAC","RB","22.4","1","22.4"
"19","Justin Jefferson","MIN","WR","22.3","1","22.3"
"20","Derek Carr","LV","QB","22.2","1","22.2"
"21","Peyton Barber","LV","RB","21.7","1","21.7"
"22","Najee Harris","PIT","RB","21.2","1","21.2"
"23","Arizona Cardinals","ARI","DST","21.0","1","21.0"
"24","Ja'Marr Chase","CIN","WR","20.5","1","20.5"
"25","Lamar Jackson","BAL","QB","20.3","1","20.3"
"25","Jacoby Brissett","MIA","QB","20.3","1","20.3"
"27","D'Andre Swift","DET","RB","20.2","1","20.2"
"28","Alexander Mattison","MIN","RB","20.1","1","20.1"
"28","Dak Prescott","DAL","QB","20.1","1","20.1"
"30","New Orleans Saints","NO","DST","20.0","1","20.0"
"31","Austin Ekeler","LAC","RB","19.7","1","19.7"
"31","DK Metcalf","SEA","WR","19.7","1","19.7"
"33","DeSean Jackson","Multi","WR","19.5","1","19.5"
"33","Kyler Murray","ARI","QB","19.5","1","19.5"
"35","Alvin Kamara","NO","RB","19.3","1","19.3"
"36","Chase McLaughlin","CLE","K","19.0","1","19.0"
"36","Denver Broncos","DEN","DST","19.0","1","19.0"
"38","Kendrick Bourne","NE","WR","18.6","1","18.6"
"38","Joe Burrow","CIN","QB","18.6","1","18.6"
"40","Aaron Rodgers","GB","QB","18.5","1","18.5"
"41","Saquon Barkley","NYG","RB","18.4","1","18.4"
"42","Derrick Henry","TEN","RB","17.9","1","17.9"
"43","James Conner","ARI","RB","17.8","1","17.8"
"44","Justin Tucker","BAL","K","17.0","1","17.0"
"45","Baker Mayfield","CLE","QB","16.9","1","16.9"
"45","Antonio Gibson","WAS","RB","16.9","1","16.9"
"47","Zack Moss","BUF","RB","16.6","1","16.6"
"47","Russell Wilson","SEA","QB","16.6","1","16.6"
"47","Chris Godwin","TB","WR","16.6","1","16.6"
"47","Aaron Jones","GB","RB","16.6","1","16.6"
"51","Daniel Jones","NYG","QB","16.5","1","16.5"
"51","Tyler Conklin","MIN","TE","16.5","1","16.5"
"51","DJ Moore","CAR","WR","16.5","1","16.5"
"54","Nyheim Hines","IND","RB","16.4","1","16.4"
"55","Hunter Renfrow","LV","WR","16.2","1","16.2"
