"Rank","Player","Team","Position","Points","Games","Avg"
"1","Jonathan Taylor","IND","RB","51.9","1","51.9"
"2","Austin Ekeler","LAC","RB","38.5","1","38.5"
"3","Justin Herbert","LAC","QB","35.3","1","35.3"
"4","Aaron Rodgers","GB","QB","33.5","1","33.5"
"5","Justin Jefferson","MIN","WR","33.2","1","33.2"
"6","Jalen Hurts","PHI","QB","30.8","1","30.8"
"7","New England Patriots","NE","DST","28.0","1","28.0"
"8","Davante Adams","GB","WR","27.0","1","27.0"
"9","Trevor Siemian","NO","QB","26.2","1","26.2"
"9","Cam Newton","CAR","QB","26.2","1","26.2"
"11","Elijah Moore","NYJ","WR","25.6","1","25.6"
"12","Kirk Cousins","MIN","QB","25.2","1","25.2"
"13","Zach Ertz","Multi","TE","24.8","1","24.8"
"14","Joe Mixon","CIN","RB","24.3","1","24.3"
"15","Taylor Heinicke","WAS","QB","23.1","1","23.1"
"16","Ben Roethlisberger","PIT","QB","22.9","1","22.9"
"16","Colt McCoy","ARI","QB","22.9","1","22.9"
"18","Christian McCaffrey","CAR","RB","21.4","1","21.4"
"18","Nick Chubb","CLE","RB","21.4","1","21.4"
"20","D'Andre Swift","DET","RB","21.1","1","21.1"
"21","Evan McPherson","CIN","K","21.0","1","21.0"
"21","Dalvin Cook","MIN","RB","21.0","1","21.0"
"23","Darnell Mooney","CHI","WR","20.6","1","20.6"
"24","Marquez Valdes-Scantling","GB","WR","20.3","1","20.3"
"24","Tom Brady","TB","QB","20.3","1","20.3"
"26","Diontae Johnson","PIT","WR","19.6","1","19.6"
"27","Tyrod Taylor","HOU","QB","19.1","1","19.1"
"28","Jake Elliott","PHI","K","19.0","1","19.0"
"29","Terry McLaurin","WAS","WR","18.8","1","18.8"
"30","Tua Tagovailoa","MIA","QB","18.5","1","18.5"
"31","Marquise Goodwin","CHI","WR","18.4","1","18.4"
"31","James Conner","ARI","RB","18.4","1","18.4"
"33","Mike Williams","LAC","WR","18.2","1","18.2"
"33","Adam Thielen","MIN","WR","18.2","1","18.2"
"33","Josh Allen","BUF","QB","18.2","1","18.2"
"36","Brandon Aiyuk","SF","WR","18.0","1","18.0"
"37","Joe Flacco","NYJ","QB","17.9","1","17.9"
"38","Mike Evans","TB","WR","17.3","1","17.3"
"39","Myles Gaskin","MIA","RB","17.1","1","17.1"
"40","Devonta Freeman","BAL","RB","17.0","1","17.0"
"41","Jaylen Waddle","MIA","WR","16.6","1","16.6"
"42","Travis Kelce","KC","TE","16.3","1","16.3"
"42","Stefon Diggs","BUF","WR","16.3","1","16.3"
"44","Chris Godwin","TB","WR","16.2","1","16.2"
"45","Nick Folk","NE","K","16.0","1","16.0"
"45","Houston Texans","HOU","DST","16.0","1","16.0"
"45","Andy Dalton","CHI","QB","16.0","1","16.0"
"48","Deebo Samuel","SF","WR","15.9","1","15.9"
"49","Keenan Allen","LAC","WR","15.7","1","15.7"
"50","Jimmy Garoppolo","SF","QB","15.6","1","15.6"
"51","Tyreek Hill","KC","WR","15.5","1","15.5"
"52","Darren Waller","LV","TE","15.1","1","15.1"
"53","Kansas City Chiefs","KC","DST","15.0","1","15.0"
"54","Clyde Edwards-Helaire","KC","RB","14.6","1","14.6"
"55","Najee Harris","PIT","RB","14.4","1","14.4"
"56","Adam Trautman","NO","TE","14.3","1","14.3"
"57","Nick Westbrook-Ikhine","TEN","WR","14.2","1","14.2"
"57","Mack Hollins","MIA","WR","14.2","1","14.2"
"59","Chris Boswell","PIT","K","14.0","1","14.0"
"59","Robbie Gould","SF","K","14.0","1","14.0"
"61","DJ Moore","CAR","WR","13.5","1","13.5"
"61","Tyler Lockett","SEA","WR","13.5","1","13.5"
"63","Jamison Crowder","NYJ","WR","13.4","1","13.4"
"64","Ryan Tannehill","TEN","QB","13.2","1","13.2"
"65","Ryan Succop","TB","K","13.0","1","13.0"
"66","AJ Dillon","GB","RB","12.7","1","12.7"
"67","Nelson Agholor","NE","WR","12.5","1","12.5"
"68","Mark Ingram II","Multi","RB","12.3","1","12.3"
"69","Jarvis Landry","CLE","WR","12.2","1","12.2"
